,id,label,value
220,v000063,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
221,v000064,Marked,1
222,v000064,Not marked,5
223,v000064,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
224,v000065,"Under $10,000",1
225,v000065,"$10,000-25,000",2
226,v000065,"$25,000-50,000",3
227,v000065,"$50,000-105,000",4
228,v000065,"$105,000 and above",5
229,v000065,"INAP, Phone mode",0
230,v000065,DK,8
231,v000066,White,1
232,v000066,Black,2
233,v000066,American Indian,3
234,v000066,Asian,4
235,v000066,Other,7
236,v000066,"INAP, Phone mode",0
237,v000066,DK,8
238,v000092,"Northeast (CT, ME, MA, NH, NJ, NY, PA",1
239,v000092,"North Central (IL, IN, IA, KS, MI, MN",2
240,v000092,"South (AL, AR, DE, DC, FL, GA, KY, LA",3
241,v000092,"West (AK, AZ, CA, CO, HI, ID, MT, NM,",4
242,v000093,Central Cities of the six largest (po,1
243,v000093,Central Cities of CMSAs and MSAs with,2
244,v000093,Suburbs of the six largest CMSA/MSAs,3
245,v000093,Suburb of all other CMSA/MSAs,4
246,v000093,Adjacent Areas: includes all territor,5
247,v000093,Outlying Area: includes all territory,6
248,v000093,Telephone sample (RDD),0
341,v000094,"Rural place, no defined Census Pla",0
342,v000094,Telephone sample (RDD),9996
1100,v000095,Central Cities (these would have bee,11
249,v000095,Rural (including rural places with l,20
310,v000095,"2,500-9,999 plus other urbanized are",21
410,v000095,"10,000-29,999",22
510,v000095,"30,000-49,999",23
610,v000095,"50,000-99,999",24
710,v000095,"100,000-149,999",25
810,v000095,"150,000-349,999",26
910,v000095,"350,000 and over, exclusive of citie",27
1010,v000095,"Under 50,000 (identified by OMB, Jun",30
1110,v000095,"50-000-99,999",31
1210,v000095,"100,000-149,999",32
1310,v000095,"150,000-349,999",33
1410,v000095,"350,000 and over",34
1510,v000095,Rural (including rural places with l,40
1610,v000095,"2,500-9,999",41
1710,v000095,"10,000-29,999",42
1810,v000095,"30,000-49,999",43
1910,v000095,"50,000-99,999",44
2010,v000095,"100,000-149,999",45
2110,v000095,"150,000 and over",46
2210,v000095,Rural (including rural places with l,50
2310,v000095,"2,500-9,999",51
2410,v000095,"10,000-29,999",52
251,v000095,"30,000-49,999",53
261,v000095,Telephone sample (RDD),0
1101,v000096,Enumeration district,0
250,v000096,Tracted,1
1102,v000098,0000.INAP. location not in SMSA (MSA,0
252,v000098,"Anaheim-Santa Ana-Garden Grove,",360
311,v000098,"Atlanta, GA",520
411,v000098,"Atlantic City, NJ",560
511,v000098,"Baltimore, MD",720
611,v000098,"Bergen-Passiac, NJ PMSA (Former",875
711,v000098,"1000.Birmingham, AL",1000
811,v000098,1123.Boston-Lawrence-Salem-Lowell-Br,1123
911,v000098,"1125.Boulder-Longmont, CO PMSA",1125
1011,v000098,"1145.Brazoria, TX PMSA",1145
1111,v000098,"1280.Buffalo, NY",1280
1211,v000098,"1600.Chicago, IL",1600
1311,v000098,1680.Cleveland OH,1680
1411,v000098,"1800.Columbus, GA-AL",1800
1511,v000098,"1920.Dallas-Ft Worth, TX",1920
1611,v000098,"2000.Dayton, OH",2000
1711,v000098,"2080.Denver-Boulder, CO",2080
1811,v000098,"2120.Des Moines, IA",2120
1911,v000098,"2160.Detroit, MI",2160
2011,v000098,"2400.Eugene-Springfield, OR",2400
2111,v000098,"2760.Fort Wayne, IN",2760
2211,v000098,"2800.Fort Worth-Arlington TX, PMSA",2800
2311,v000098,"2840.Fresno, CA",2840
2411,v000098,"3000.Grand Rapids, MI",3000
253,v000098,"3360.Houston, TX",3360
262,v000098,"3600.Jacksonville, FL",3600
271,v000098,"3760.Kansas City, MO-KS",3760
281,v000098,"3840.Knoxville, TN",3840
291,v000098,"3965.Lake County, IL PMSA",3965
301,v000098,"3980.Lakeland-Winter Haven, FL",3980
312,v000098,"4480.Los Angeles-Long Beach, CA",4480
321,v000098,4720.Madison WI,4720
331,v000098,"4763.Manchester-Nashua, NH NECMA",4763
343,v000098,"4880.McAllen-Pharr-Edinburgh, TX",4880
351,v000098,"5000.Miami, FL",5000
361,v000098,"5015.Middlesex-Somerset-Hunterdon, N",5015
371,v000098,"5080.Milwaukee, WI",5080
381,v000098,"5120.Minneapolis-St Paul, MN-WI",5120
391,v000098,"5350.Nashua, NH PMSA",5350
401,v000098,"5380.Nassau-Suffolk, NY",5380
412,v000098,"5480.New Haven-West Haven, CT",5480
421,v000098,"5483.New Haven-Waterbury-Meriden, CT",5483
431,v000098,"5600.New York, NY-NJ",5600
441,v000098,"5640.Newark, NJ",5640
451,v000098,"5700.Niagara Falls, NY PMSA",5700
461,v000098,"5775.Oakland, CA PMSA",5775
471,v000098,"6160.Philadelphia, PA-NJ",6160
481,v000098,"6200.Phoenix, AZ",6200
491,v000098,"6280.Pittsburgh, PA",6280
501,v000098,"6453.Portsmouth-Dover-Rochester, NH",6453
512,v000098,"6760.Richmond, VA",6760
521,v000098,"6780.Riverside-San Bernardino, Ontar",6780
531,v000098,"6920.Sacramento, CA (1990 MSA defini",6920
541,v000098,"6960.Saginaw, MI",6960
551,v000098,"7040.St. Louis, MO-IL",7040
561,v000098,"7160.Salt Lake City-Ogden, UT MSA",7160
571,v000098,"7360.San Francisco-Oakland,CA",7360
581,v000098,"7600.Seattle-Everett, WA",7600
591,v000098,"8003.Springfield, MA NECMA",8003
601,v000098,"8080.Steubenville-Wierton, OH-WV",8080
612,v000098,"8200.Tacoma, WA",8200
621,v000098,"8800.Waco, TX",8800
631,v000098,"8840.Washington, DC-MD-VA",8840
641,v000098,"9000.Wheeling, WV-OH",9000
651,v000098,"9243.Worcester-Fitchburn-Leominster,",9243
661,v000098,9996.Telephone sample (RDD),9996
1103,v000099,Boston-Lawrence-Salem MA-NH,7
254,v000099,Buffalo-Niagara Falls NY,10
313,v000099,Chicago-Gary-Lake County IL-IN-WI**,14
413,v000099,Cleveland-Akron-Lorain OH,28
513,v000099,Dallas-Ft Worth TX (Since Dallas and,31
613,v000099,Denver-Boulder CO (Since Denver and,34
712,v000099,Detroit-Ann Arbor MI**,35
812,v000099,Houston-Galveston-Brazoria TX,42
912,v000099,Los Angeles-Anaheim-Riverside CA**,49
1012,v000099,Miami-Fort Lauderdale FL,56
1112,v000099,Milwaukee-Racine WI,63
1212,v000099,New York-Northern New Jersey-Long Is,70
1312,v000099,Philadelphia-Wilmington-Trenton PA-N,77
1412,v000099,Pittsburgh-Beaver Valley PA,78
1512,v000099,San Francisco-Oakland-San Jose CA**,84
1612,v000099,Seattle-Tacoma WA,91
1712,v000099,"INAP, Location not in CMSA. This inc",0
1812,v000099,Telephone sample (RDD),96
1104,v000100,Not tracted,0
1105,v000101,Not tracted. no 2nd tract,0
1106,v000104,Telephone sample (RDD),0
1107,v000105,Telephone sample (RDD),0
1108,v000106,Telephone sample (RDD),0
1109,v000126,Personal,1
255,v000126,Telephone,5
314,v000126,ADMINISTERED USING WRONG MODE: FTF re,7
414,v000126,No post IW,0
1113,v000126a,"Assigned FTF, not switched to Phone",1
256,v000126a,Assigned Phone,2
315,v000126a,"Assigned FTF, switched to Phone mode",3
1114,v000127a,Section H not administered in Post (P,0
257,v000127a,Section H administered in Post (V0004,1
316,v000127a,No Post IW,9
1115,v000127b,K2a-K2d administered without probes,0
258,v000127b,K2a-K2d administered with probes,1
317,v000127b,No post IW,9
1116,v000128,November,11
259,v000128,December,12
318,v000128,No Post IW,0
3110,v000129,No Post IW,0
462,v000131,"INAP, no Post IW",96
1117,v000132,Before,0
260,v000132,Day of concession (Dec. 13),1
319,v000132,After,2
415,v000132,"NA. INAP, no Post IW",9
452,v000134,"INAP, no Post Interview",0
1118,v000135,7-Nov,1
263,v000135,10-Nov,2
320,v000135,11/16 (1),3
416,v000135,11/16 (2),4
514,v000135,18-Nov,5
614,v000135,27-Nov,6
713,v000135,No Post IW,0
1119,v000136,7-Nov,1
264,v000136,10-Nov,2
322,v000136,11/16 (1),3
417,v000136,11/16 (2),4
515,v000136,18-Nov,5
615,v000136,27-Nov,6
714,v000136,"INAP, partial IW. no Post IW",0
1120,v000137,No change,0
265,v000137,Change in VQ,1
323,v000137,"INAP, partial IW. no post IW",9
1121,v000138,Release 1 - November 7,1
266,v000138,Release 2 - November 15,2
324,v000138,Release 3 - November 21.,3
1122,v000139,R requested no payment,0
267,v000139,Twenty dollars,20
325,v000139,Forty dollars,40
418,v000139,"INAP, no Post IW",96
1123,v000139a,Post interview date not in incentive,0
268,v000139a,Post interview date in incentive peri,1
326,v000139a,"INAP, no Post IW",9
1124,v000140,R requested no payment,0
269,v000140,Check,1
327,v000140,Cash,2
419,v000140,"NA. INAP, no Post IW",9
1125,v000142,Yes,1
270,v000142,No,5
328,v000142,"INAP, no Post IW",0
1126,v000143,"Counted for Ann Arbor office, not sel",0
272,v000143,Flagged for verification,1
329,v000143,Verified OK,2
420,v000143,Verified with some discrepancies,3
516,v000143,Not verified - attempts to verify hal,4
616,v000143,Unable to verify,5
715,v000143,Verification limit met,6
813,v000143,"NA. INAP, no Post IW",9
1127,v000144,Not evaluated,0
273,v000144,Flagged,1
330,v000144,Evaluated,2
422,v000144,Evaluation received in Ann Arbor offi,3
517,v000144,Cannot evaluate,4
617,v000144,"INAP, no Post IW",9
1128,v000145,Not a refusal convesion situation,0
274,v000145,Refusal conversion situation indicate,1
332,v000145,"NA. INAP, no Post IW",9
1129,v000146,No persuasion letter sent,0
275,v000146,Persuasion letter sent,1
333,v000146,"NA. INAP, no Post IW",9
1130,v000149,A. Too busy,1
276,v000149,B. Too personal,2
334,v000149,C. Not interested,3
423,v000149,D. Too old,4
518,v000149,E. Evasive,5
618,v000149,F. Gatekeeper,6
716,v000149,G. Not at home,7
814,v000149,"INAP, no Post IW",0
3210,v000150,"NA. INAP, no Post IW",99
1132,v000151,"NA. INAP, no Post IW",99
1131,v000152,IW complete,1
277,v000152,IW partial,5
335,v000152,Refusal by R,51
424,v000152,Refusal by person other than R,52
519,v000152,"Initial refusal, not reached for conv",54
619,v000152,No contact,61
717,v000152,"Noninterview, permanent reason",63
815,v000152,"Interview begun then terminated, insu",66
913,v000152,"Noninterview, other reason",67
1013,v000152,Could not Locate R,68
1133,v000154,Pre FTF and Post FTF,1
278,v000154,Pre phone and Post phone,2
336,v000154,Pre FTF and Post phone,3
425,v000154,"INAP, no post IW",0
1134,v000155,English,1
1135,v000156,Coversheet not missing,0
279,v000156,Coversheet missing,1
1136,v000157,Blue,1
280,v000157,Yellow,2
337,v000157,Pink,3
426,v000157,"INAP, coversheet missing (1 in Post-C",0
1137,v000158,Yes,1
282,v000158,No,5
338,v000158,"INAP, coversheet missing (1 in Post-C",0
1138,v000159,Available,1
283,v000159,Not available,2
339,v000159,"INAP, 1,9 in Post-Csheet.3. covershee",0
1139,v000160,Out of range,1
284,v000160,Within range,3
340,v000160,Can't find,5
427,v000160,"INAP, 1,9 in Post-Csheet.3. covershee",0
1140,v000161,Mobile home,1
285,v000161,Detached single family,2
344,v000161,Multi-family,3
428,v000161,Apartment house,4
520,v000161,Condo complex,5
620,v000161,Other (specify),7
718,v000161,"Inap, coversheet missing (1 in Post-C",0
1141,v000162,Yes,1
286,v000162,"No, but building is locked/ subdivisi",2
345,v000162,No,5
429,v000162,"Inap, coversheet missing (1 in Post-C",0
1142,v000163,Building manager or other Gatekeeper,1
287,v000163,Building manager/other Gatekeeper mus,2
346,v000163,Other (specify),7
430,v000163,"Inap, 5, 9 in Pre-Csheet.13. covershe",0
1143,v000164,Yes,1
288,v000164,No,5
347,v000164,"INAP, coversheet missing (1 in Post-C",0
1144,v000165,Marked,1
289,v000165,Not marked,5
348,v000165,"Inap, 5,9 in Post-Csheet.9. covershee",0
1145,v000166,Marked,1
290,v000166,Not marked,5
349,v000166,"Inap, 5,9 in Post-Csheet.9. covershee",0
1146,v000167,Marked,1
292,v000167,Not marked,5
350,v000167,"Inap, 5,9 in Post-Csheet.9. covershee",0
1147,v000168,Marked,1
293,v000168,Not marked,5
352,v000168,"Inap, 5,9 in Post-Csheet.9. covershee",0
1148,v000169,Marked,1
294,v000169,Not marked,5
353,v000169,"Inap, 5,9 in Post-Csheet.9. covershee",0
1149,v000170,Marked,1
295,v000170,Not marked,5
354,v000170,"Inap, 5,9 in Post-Csheet.9. covershee",0
1150,v000171,Marked,1
296,v000171,Not marked,5
355,v000171,"Inap, 5,9 in Post-Csheet.9. covershee",0
1151,v000172,Yes,1
297,v000172,No,5
356,v000172,"INAP, coversheet missing (1 in Post-C",0
1152,v000173,None,0
298,v000173,One,1
357,v000173,Two or more,2
1153,v000174,Yes,1
299,v000174,No,5
358,v000174,"Inap, 5,9 in Post-Csheet.9. covershee",0
1154,v000175,"Yes, some resistance identified",1
2100,v000175,No resistance identified,5
359,v000175,"Inap, 5,9 in Post-Csheet.9. covershee",0
1155,v000176,Marked,1
2101,v000176,Not marked,5
360,v000176,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1156,v000177,Marked,1
2102,v000177,Not marked,5
362,v000177,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1157,v000178,Marked,1
2103,v000178,Not marked,5
363,v000178,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1158,v000179,Marked,1
2104,v000179,Not marked,5
364,v000179,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1159,v000180,Marked,1
2105,v000180,Not marked,5
365,v000180,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1160,v000181,Marked,1
2106,v000181,Not marked,5
366,v000181,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1161,v000182,Marked,1
2107,v000182,Not marked,5
367,v000182,"Inap, 1 in Post-CSheet.20. 5,9 in Pos",0
1162,v000183,Yes,1
2108,v000183,No,5
368,v000183,"INAP, noninterview and coversheet mis",0
1163,v000183a,Yes,1
2109,v000183a,No,5
369,v000183a,"INAP, 5,9 in Post-Csheet.28. noninter",0
1164,v000184,Nobody home at any call. no info abou,1
2112,v000184,All occupants away during entire stud,2
370,v000184,Nobody answered door but think somone,3
432,v000184,Could not obtain access to HU,4
522,v000184,Other (specify),7
622,v000184,"Inap, 5,9 in Post-Csheet.28. covershe",0
1165,v000184a,"Under $10,000",1
2113,v000184a,"$10,000-25,000",2
372,v000184a,"$25,000-50,000",3
433,v000184a,"$50,000-105,000",4
523,v000184a,"$105,000 and above",5
623,v000184a,"INAP, Phone mode",0
719,v000184a,DK,8
1166,v000184b,White,1
2114,v000184b,Black,2
373,v000184b,American Indian,3
434,v000184b,Asian,4
524,v000184b,Other,7
624,v000184b,"INAP, Phone mode",0
720,v000184b,DK,8
1167,v000184c,Definite,1
2115,v000184c,Probable,5
374,v000184c,"INAP, 0,8,9 in Post-Csheet.31",0
1168,v000184d,Yes,1
2116,v000184d,No,5
375,v000184d,"INAP, Phone mode",0
435,v000184d,DK,8
1169,v000184e,Definite,1
2117,v000184e,Probable,5
376,v000184e,"INAP, 0,8,9 in Pre-Csheet.37",0
1170,v000187,Male,1
2118,v000187,Female,2
1171,v000188,1-8 grades,1
2119,v000188,Some high school,2
377,v000188,High school graduate,3
436,v000188,Some college,4
525,v000188,College degree,5
625,v000188,Master's degree,6
721,v000188,Ph.D.,7
1172,v000189,White,1
2120,v000189,Black,2
378,v000189,Native American,3
437,v000189,Asian,4
526,v000189,Other,7
1173,v000190,No ethnic identity coded,0
2121,v000190,Hispanic,1
379,v000190,Other,7
1813,v000192,"NA. INAP, no Post IW",99
1174,v000193,18-34 years,1
2122,v000193,35-40 years,2
380,v000193,41-45 years,3
438,v000193,46-50 years,4
527,v000193,51-55 years,5
626,v000193,56-60 years,6
722,v000193,51-64 years,7
816,v000193,65-79 years,8
1175,v000194,Least competitive,1
2123,v000194,Most competitive,5
382,v000194,NA (R's correct district not determin,9
1176,v000194b,Democratic Representative--retiring,41
2124,v000194b,Republican Representative--retiring,42
383,v000194b,No retiring House representative. Wa,0
439,v000194b,1 in Post-Summary.22 (error in CD id,96
1177,v000194c,Male,1
2125,v000194c,Female,2
384,v000194c,No retiring House representative. Was,0
440,v000194c,1 in Post-Summary.22 (error in CD ide,8
1178,v000194d,Washington DC,0
2126,v000194d,Independent/3rd party incumbent cand,30
385,v000194d,Democratic candidate in open race,31
442,v000194d,Republican candidate in open race,32
528,v000194d,Democratic incumbent,33
627,v000194d,Republican incumbent,34
723,v000194d,Democratic challenger,35
817,v000194d,Republican challenger,36
914,v000194d,Independent/3rd party nonincumbent c,39
1014,v000194d,NA (R's correct district not determi,99
1179,v000194e,No race in state. Washington CD,0
2127,v000194e,Third party or independent Senate,8
386,v000194e,Third party or independent Senate,9
443,v000194e,Third party or independent Senate,10
529,v000194e,Democratic candidate in open Senat,11
628,v000194e,Republican candidate in open Senat,12
724,v000194e,Democratic Senate incumbent,13
818,v000194e,Republican Senate incumbent,14
915,v000194e,Democratic Senate challenger,15
1015,v000194e,Republican Senate challenger,16
1413,v000194e,NA (R's correct district not determi,99
1180,v000194g,NO,0
2128,v000194g,YES,1
387,v000194g,NA (R's correct district not determin,9
1181,v000196,Democratic candidate in open House r,31
2129,v000196,Democratic House incumbent,33
388,v000196,Democratic House challenger,35
444,v000196,No Democratic candidate. Washington,0
530,v000196,1 in Post-Summary.22 (error in CD id,96
1182,v000197,Male,1
2130,v000197,Female,2
389,v000197,No Democratic House candidate. Washin,0
445,v000197,1 in Post-Summary.22 (error in CD ide,8
1183,v000199,Republican candidate in open House r,32
2131,v000199,Republican House incumbent,34
390,v000199,Republican House challenger,36
446,v000199,No Republican House candidate. Washi,0
532,v000199,1 in Post-Summary.22 (error in CD id,96
1184,v000200,Male,1
2132,v000200,Female,2
392,v000200,No Republican House candidate. Washin,0
447,v000200,1 in Post-Summary.22 (error in CD ide,8
1185,v000202,Third party or independent House can,30
2133,v000202,Third party or independent House can,38
393,v000202,Third party or independent House can,39
448,v000202,No Independent/third party House can,0
533,v000202,1 in Post-Summary.22 (error in CD id,96
1186,v000203,Male,1
2134,v000203,Female,2
394,v000203,No Independent/third party House cand,0
449,v000203,1 in Post-Summary.22 (error in CD ide,8
1187,v000234,Third party or independent Senate ca,9
2135,v000234,Third party or independent Senate ca,10
395,v000234,R did not vote outside state of IW.,0
450,v000234,No race in state. no independent/3rd,96
534,v000234,R voted in another district but not,99
1188,v000235,Male,1
2136,v000235,Female,2
396,v000235,R did not vote outside state of IW. R,0
453,v000235,No race in state. no independent/3rd,9
1189,v000237,Third party or independent Senate c,8
2137,v000237,R did not vote outside state of IW.,0
397,v000237,No race in state. no independent/3rd,96
454,v000237,R voted in another district but not,99
1190,v000238,Male,1
2138,v000238,Female,2
398,v000238,R did not vote outside state of IW. R,0
455,v000238,No race in state. no independent/3rd,9
1191,v000260,No misidentification of CD,0
2139,v000260,Wrong CD identified (administered),1
399,v000260,No Post IW,9
1192,v000261,No error in Preload,0
2140,v000261,"Wrong Senate type race preloaded (WV,",1
3100,v000261,Wrong CD (1 in Post-Summary.22),2
456,v000261,No Post IW,9
1193,v000262,No randomization failure,0
2141,v000262,Post randomization failure in at leas,1
3101,v000262,No Post IW,9
1194,v000301,VERY MUCH INTERESTED,1
2142,v000301,SOMEWHAT INTERESTED,3
3102,v000301,NOT MUCH INTERESTED,5
1195,v000302,CARE A GOOD DEAL,1
2143,v000302,DON'T CARE VERY MUCH,3
3103,v000302,DON'T KNOW,8
1196,v000303,"YES, VOTED",1
2144,v000303,"NO, DIDN'T VOTE",5
3104,v000303,DON'T KNOW,8
457,v000303,RF,9
