"","id","label","value"
"46","v165001a","-6. Unit nonresponse, no Post-Election interview","-6"
"51","v165001a","-1. INAP, FTF mode","-1"
"91","v165001b","-7. No Post, deleted due to insufficient partial","-7"
"101","v165001b","-6. Unit nonresponse, no Post-Election interview","-6"
"112","v165001b","-1. INAP, FTF mode","-1"
"161","v165001c","-7. No Post, deleted due to insufficient partial","-7"
"171","v165001c","-6. Unit nonresponse, no Post-Election interview","-6"
"181","v165001c","-1. INAP, FTF mode","-1"
"182","v165001d","-7. No Post, deleted due to insufficient partial","-7"
"191","v165001d","-6. Unit nonresponse, no Post-Election interview","-6"
"201","v165001d","-1. INAP, FTF mode","-1"
"110","v162370","1. Yes have a Facebook account I have used in the past month","1"
"210","v162370","2. Have a Facebook account but have not used it in past month","2"
"311","v162370","3. No, do not have a Facebook account","3"
"47","v162370","-9. Refused","-9"
"52","v162370","-7. No post data, deleted due to incomplete IW","-7"
"61","v162370","-6. No post-election interview","-6"
"72","v162370","-5. Breakoff, sufficient partial IW","-5"
"113","v162371a","1. Logged into facebook","1"
"211","v162371a","2. Decline","2"
"312","v162371a","-7. No post data, deleted due to incomplete IW","-7"
"49","v162371a","-6. No post-election interview","-6"
"53","v162371a","-5. Breakoff, sufficient partial IW","-5"
"62","v162371a","-4. Error","-4"
"73","v162371a","-1. Inap","-1"
"114","v162371b","1. Logged into facebook","1"
"212","v162371b","2. Decline","2"
"313","v162371b","-7. No post data, deleted due to incomplete IW","-7"
"410","v162371b","-6. No post-election interview","-6"
"54","v162371b","-5. Breakoff, sufficient partial IW","-5"
"63","v162371b","-4. Error","-4"
"74","v162371b","-1. Inap","-1"
"115","v166001","1. Forward order (selected questions) or no response options","1"
"213","v166001","2. Reverse order (selected questions)","2"
"116","v166002","1. Democratic cand names first (yellow ballot card) in vote sections","1"
"214","v166002","2. Republican cand names first (green ballot card) in vote sections","2"
"117","v161003","1. Always","1"
"215","v161003","2. Most of the time","2"
"314","v161003","3. About half the time","3"
"411","v161003","4. Some of the time","4"
"55","v161003","5. Never","5"
"118","v161004","1. Very much interested","1"
"216","v161004","2. Somewhat interested","2"
"315","v161004","3. Not much interested","3"
"119","v161005","1. Yes, voted","1"
"217","v161005","2. No, didn't vote","2"
"316","v161005","-9. Refused","-9"
"412","v161005","-8. Don't know (FTF only)","-8"
"120","v161006","1. Barack Obama","1"
"218","v161006","2. Mitt Romney","2"
"317","v161006","5. Other SPECIFY","5"
"413","v161006","6. Other specify - specified as:  Did not vote/did not vote for President in 2012","6"
"56","v161006","8. Other specify - specified as: DK/don't remember (Web only)","8"
"64","v161006","-9. Refused","-9"
"75","v161006","-8. Don't know (FTF only)","-8"
"81","v161006","-1. Inap, 2,-8,-9 in V161005","-1"
"121","v161007","1. Yes","1"
"219","v161007","2. No","2"
"318","v161007","-8. Don't know (FTF only)","-8"
"414","v161007","-1. Inap, Web mode","-1"
"122","v161008","0. None","0"
"220","v161008","1. One day","1"
"319","v161008","2. Two days","2"
"415","v161008","3. Three days","3"
"57","v161008","4. Four days","4"
"65","v161008","5. Five days","5"
"76","v161008","6. Six days","6"
"82","v161008","7. Seven days","7"
"92","v161008","-9. Refused","-9"
"102","v161008","-8. Don't know (FTF only)","-8"
"123","v161009","1. A great deal","1"
"221","v161009","2. A lot","2"
"320","v161009","3. A moderate amount","3"
"416","v161009","4. A little","4"
"58","v161009","5. None at all","5"
"66","v161009","-9. Refused","-9"
"77","v161009","-1. Inap, 0,-8,-9 in V161008","-1"
"124","v161010a","1. Democratic candidate names 1st / FTF yellow Ballot Card","1"
"222","v161010a","2. Republican candidate names 1st / FTF green Ballot Card","2"
"125","v161010b","0. Sample address not preloaded","0"
"223","v161010b","1. Sample address preloaded","1"
"126","v161010c","0. No candidate names preloaded for location of sample address","0"
"224","v161010c","1. Candidate names preloaded for location of sample address","1"
"127","v161011","1. Registered at this address","1"
"225","v161011","2. Registered at a different address","2"
"321","v161011","3. Not currently registered","3"
"417","v161011","-9. Refused","-9"
"59","v161011","-8. Don't know (FTF only)","-8"
"128","v161011a","1. Yes","1"
"226","v161011a","2. No","2"
"322","v161011a","-9. Refused","-9"
"418","v161011a","-1. INAP, FTF mode/ WEB: 1,2,3 in V161011","-1"
"129","v161012","0. Registration address not given","0"
"227","v161012","1. Registration address given","1"
"323","v161012","2. Partial address given for registration address","2"
"419","v161012","-1. Inap, 1,3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"130","v161013a","0. State not included for registration address","0"
"228","v161013a","1. State included for registration address","1"
"324","v161013a","-1. Inap, 1,3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"132","v161013b","0. City not included for registration address","0"
"229","v161013b","1. City included for registration address","1"
"325","v161013b","2. City included in incorrect field (other field)","2"
"420","v161013b","-1. Inap, 1,3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"133","v161015a","0. State of registration is not same as state of sample address","0"
"230","v161015a","1. State of registration same as state of sample address","1"
"326","v161015a","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"134","v161015c","0. No Senate race in state of registration","0"
"231","v161015c","1. Senate race in state of registration","1"
"327","v161015c","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"135","v161015d","0. No Governor race in state of registration","0"
"232","v161015d","1. Governor race in state of registration","1"
"328","v161015d","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"136","v161015e","0. No party registration in state of registration","0"
"233","v161015e","1. Party registration in state of registration","1"
"329","v161015e","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"137","v161016","1. Yes, registered in","1"
"234","v161016","2. No, registered in other county","2"
"330","v161016","5. R VOLUNTEERS:  is incorrect","5"
"421","v161016","-9. Refused","-9"
"510","v161016","-1. Inap, 2 in V161011 and 0 in V161015a/ 2 in V161013b/ 1,3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"138","v161017","1. 0-1 years","1"
"235","v161017","2. 2-5 years","2"
"331","v161017","3. 5 years or more","3"
"422","v161017","-9. Refused","-9"
"511","v161017","-8. Don't know (FTF only)","-8"
"67","v161017","-1. Inap, 2 in V161011 and 0,2 in V161013b/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"139","v161018","0. No name recorded /non-name response","0"
"236","v161018","1. RESTRICTED: Recorded, two words that appear to be first/last names","1"
"332","v161018","2. RESTRICTED: Partially recorded: one word as name, or initial(s) only","2"
"423","v161018","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"140","v161019","1. Democratic party","1"
"237","v161019","2. Republican party","2"
"333","v161019","4. None or 'independent'","4"
"424","v161019","5. Other SPECIFY","5"
"512","v161019","-9. Refused","-9"
"68","v161019","-8. Don't know (FTF only)/ WEB: other specify - specified as: Don't know","-8"
"78","v161019","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"141","v161020","1. Yes, intend to register","1"
"238","v161020","2. No, do not intend to register","2"
"334","v161020","-8. Don't know (FTF only)","-8"
"425","v161020","-1. Inap, 1,2 in V161011/ WEB: 1,-9 in V161011a","-1"
"142","v161021","1. Yes, voted in primary or caucus","1"
"239","v161021","2. No, didn't vote in primary or caucus","2"
"335","v161021","-9. Refused","-9"
"426","v161021","-8. Don't know (FTF only)","-8"
"143","v161021a","1. Hillary Clinton","1"
"240","v161021a","2. Bernie Sanders","2"
"336","v161021a","3. Another Democrat","3"
"427","v161021a","4. Donald Trump","4"
"513","v161021a","5. Ted Cruz","5"
"69","v161021a","6. John Kasich","6"
"79","v161021a","7. Marco Rubio","7"
"83","v161021a","8. Another Republican","8"
"93","v161021a","9. Someone else who is not a Republican or Democrat","9"
"103","v161021a","-9. Refused","-9"
"1110","v161021a","-8. Don't know (FTF only)","-8"
"1210","v161021a","-1. Inap, 2,-8,-9 in V161021","-1"
"144","v161022","1. Have voted","1"
"241","v161022","2. Have not voted","2"
"337","v161022","-9. Refused","-9"
"428","v161022","-1. Inap, 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"145","v161022a","1. Yes, voted","1"
"242","v161022a","2. No, have not voted","2"
"338","v161022a","-1. Inap, 2,-8,-9 in V161022/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"146","v161023","1. Definitely voted in person at a polling place before election day","1"
"243","v161023","2. Definitely voted by mailing a ballot to elections officials before election day","2"
"339","v161023","3. Definitely voted in some other way","3"
"429","v161023","4. Not completely sure whether you voted or not","4"
"514","v161023","-1. Inap, 2,-8,-9 in V161022/ 2 in V161022a/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-1"
"147","v161024x","1. Not (or DK/RF if) registered, does not intend to register or DK/RF intent","1"
"244","v161024x","2. Not (or DK/RF if) registered, intends to register","2"
"340","v161024x","3. Registered but did not vote early (or DK/RF if voted early)","3"
"430","v161024x","4. Registered and voted early","4"
"148","v161025","1. Yes, have  color Ballot Card for R's district","1"
"245","v161025","2. Have Ballot Card in wrong color for R's district","2"
"341","v161025","3. Only have card(s) for wrong district or have no ballot cards","3"
"431","v161025","-1. Inap, 2 in V161016/ 0 in V161015a/ Web mode","-1"
"149","v161025a","0. Ballot card not used as IWR error","0"
"246","v161025a","1. Ballot card used, names applicable for use","1"
"342","v161025a","2. Ballot card not used, names not applicable for use","2"
"432","v161025a","-1. Inap, 2 in V161016/ 0 in V161015a/ Web mode","-1"
"150","v161025x","1. Used Ballot Card/preload names - R voted","1"
"247","v161025x","2. Use Ballot Card/preload names - R registered/intends to register","2"
"343","v161025x","3. Used Ballot Card/preload names - R not registered (or DK/RF if), no intent to register","3"
"433","v161025x","4. Not used (open-end responses) - R voted","4"
"515","v161025x","5. Not used (open-end responses) - R registered/intends to register","5"
"610","v161025x","6. Not used (open-end responses) - R not registered (or DK/RF if), no intent to register","6"
"710","v161025x","7. Program err:  names preloaded but not used - R reg/intends reg )","7"
"151","v161026","1. Yes, voted for President","1"
"248","v161026","2. No, didn't vote for President","2"
"344","v161026","-1. Inap, 1-3 in V161024x","-1"
"152","v161027","1. Hillary Clinton","1"
"249","v161027","2. Donald Trump","2"
"345","v161027","3. Gary Johnson","3"
"434","v161027","4. Jill Stein","4"
"516","v161027","5. Other candidate {SPECIFY}","5"
"611","v161027","-9. Refused","-9"
"711","v161027","-1. Inap, 2,-8,-9 in V161026/ 1-3 in V161024x","-1"
"153","v161028","1. Strong","1"
"250","v161028","2. Not strong","2"
"346","v161028","-1. Inap, -8,-9 in V161027/ 2,-8,-9 in V161026/ 1-3 in V161024x","-1"
"154","v161029a","-2. Redacted text of open-end response available in separate file","-2"
"155","v161029b","-2. Coded version of open-end response will be included in future release","-2"
"156","v161030","1. Yes","1"
"251","v161030","2. No","2"
"347","v161030","-9. Refused","-9"
"435","v161030","-8. Don't know (FTF only)","-8"
"517","v161030","-1. Inap, 1,4 in V161024x","-1"
"157","v161031","1. Hillary Clinton","1"
"252","v161031","2. Donald Trump","2"
"348","v161031","3. Gary Johnson","3"
"436","v161031","4. Jill Stein","4"
"518","v161031","5. Other candidate {SPECIFY}","5"
"612","v161031","6. Other specify - specified as: DK","6"
"712","v161031","7. Other specify - specified as: RF","7"
"84","v161031","8. Other specify - specified as: none/no one/NA","8"
"94","v161031","-9. Refused","-9"
"104","v161031","-8. Don't know (FTF only)","-8"
"1111","v161031","-1. Inap, 2,-8,-9 in V161030/ 1,4 in V161024x","-1"
"158","v161032","1. Strong","1"
"253","v161032","2. Not strong","2"
"349","v161032","-9. Refused","-9"
"437","v161032","-8. Don't know (FTF only)","-8"
"519","v161032","-1. Inap, -8,-9 in V161031/ 2,-8,-9 in V161030/ 1,4 in V161024x","-1"
"159","v161033","1. Yes","1"
"254","v161033","2. No","2"
"350","v161033","-1. Inap, 2,3,4 in V161024x/ WEB: 1 in V161011a and 1 in V161024x","-1"
"160","v161034","1. Hillary Clinton","1"
"255","v161034","2. Donald Trump","2"
"351","v161034","3. Gary Johnson","3"
"438","v161034","4. Jill Stein","4"
"520","v161034","5. Other candidate {SPECIFY}","5"
"613","v161034","6. Other specify - specified as: DK","6"
"713","v161034","-1. Inap, 2,-8,-9 in V161033/ 2,3,4 in V161024x/ WEB: 1 in V161011a and 1 in V161024x","-1"
"162","v161035","1. Strong","1"
"256","v161035","2. Not strong","2"
"352","v161035","-8. Don't know (FTF only)","-8"
"439","v161035","-1. Inap, -8,-9 in V161034/ 2,-8,-9 in V161033/ 2,3,4 in V161024x/ WEB: 1 in V161011a and 1 in V161024x","-1"
"163","v161036","1. Yes, voted for House of Representatives","1"
"257","v161036","2. No, didn't vote for House of Representatives","2"
"353","v161036","-9. Refused","-9"
"440","v161036","-8. Don't know (FTF only)","-8"
"521","v161036","-1. Inap, 2,3,5,6,7 in V161025x","-1"
"164","v161037","1. Democratic House candidate","1"
"258","v161037","2. Republican House candidate","2"
"354","v161037","3. Other House candidate (name on Ballot Card)","3"
"441","v161037","4. R VOL: names on ballot card are not correct {VOTE RECORDED ON NEXT SCREEN}","4"
"522","v161037","5. Other SPECIFY (name not on Ballot Card)","5"
"614","v161037","-9. Refused","-9"
"714","v161037","-1. Inap, 1 in V161025x and 2,-8,-9 in V161036/ 2,3,4,5,6,7 in V161025x","-1"
"165","v161038","1. Candidate/party mentioned as Democratic","1"
"259","v161038","2. Candidate/party mentioned as Republican","2"
"355","v161038","3. Other mention, party not given, or other party mention","3"
"442","v161038","-9. Refused","-9"
"523","v161038","-1. Inap 1 in V161025x and 1,2,3,5,-8,-9 in V161037/ 4 in V161025x and 2,-8,-9 in V161036/ 2,3,5,6,7 in V161025x","-1"
"166","v161039","1. Yes","1"
"260","v161039","2. No","2"
"356","v161039","-9. Refused","-9"
"443","v161039","-8. Don't know (FTF only)","-8"
"524","v161039","-1. Inap, 1,3,4,6 in V161025x","-1"
"167","v161040","1. Democratic House candidate","1"
"261","v161040","2. Republican House candidate","2"
"357","v161040","3. Other House candidate (name on Ballot Card)","3"
"444","v161040","4. R VOL: names on ballot card are not correct {VOTE RECORDED ON NEXT SCREEN}","4"
"525","v161040","5. Other SPECIFY (name not on Ballot Card)","5"
"615","v161040","9. Other specify - specified as none/neither","9"
"715","v161040","-9. Refused","-9"
"85","v161040","-8. Don't know (FTF only)","-8"
"95","v161040","-1. Inap, 2,-8,-9 in V161039 and 2 in V161025x/ 1,3,4,5,6,7 in V161025x","-1"
"168","v161041","1. Candidate/party mentioned as Democratic","1"
"262","v161041","2. Candidate/party mentioned as Republican","2"
"358","v161041","3. Other mention, party not given, or other party mention","3"
"445","v161041","-9. Refused","-9"
"526","v161041","-8. Don't know (FTF only)","-8"
"616","v161041","-1. Inap 2 in V161025x, 1 in V161039 and 1,2,3,5,9,-8,-9 in V161040/ 2,-8,-9 in V161039/ 1,3,4,6 in V161025x","-1"
"169","v161042","1. Yes","1"
"263","v161042","2. No","2"
"359","v161042","-8. Don't know (FTF only)","-8"
"446","v161042","-1. Inap, 1,2,4,5,7 in V161025x/ 3 in V161025x and -9 in V161011a (WEB 1 case)","-1"
"170","v161043","1. Democratic House candidate","1"
"264","v161043","2. Republican House candidate","2"
"360","v161043","3. Other House candidate (name on Ballot Card)","3"
"447","v161043","4. R VOL: names on ballot card are not correct {VOTE RECORDED ON NEXT SCREEN}","4"
"527","v161043","5. Other SPECIFY (name not on Ballot Card)","5"
"617","v161043","-8. Don't know (FTF only)","-8"
"716","v161043","-1. Inap, 3 in V161025x and 2,-8,-9 in V161042/ 1,2,4,5,6,7 in V161025x/ 3 in V161025x and -9 in V161011a (WEB 1 case)","-1"
"172","v161044","1. Candidate/party mentioned as Democratic","1"
"265","v161044","2. Candidate/party mentioned as Republican","2"
"361","v161044","3. Other mention, party not given, or other party mention","3"
"448","v161044","-1. Inap 2,-8,-9 in V161042 and 3,6 in V161025x/ 1,2,3,5,-8,-9 in V161043 and 3 in V161025x/ 1,2,4,5,7 in V161025x/ 3 in","-1"
"173","v161045x","00. No Senate/Governor race- samp address state (R not registered)","0"
"266","v161045x","01. No Senate/Governor race- registration state (R registered)","1"
"362","v161045x","10. Senate race- sample address state (R not registered)","10"
"449","v161045x","11. Senate race- registration state (R registered)","11"
"528","v161045x","20. Governor race- samp address state (R not registered)","20"
"618","v161045x","21. Governor race- registration state (R registered)","21"
"717","v161045x","30. Senate and Governor races- samp address state (R not registered)","30"
"86","v161045x","31. Senate and Governor races- registration state (R registered)","31"
"174","v161046","1. Yes, voted for Senate","1"
"267","v161046","2. No, didn't vote for Senate","2"
"363","v161046","-1. Inap,1,4 in V161025x and 01,21 in V161045x/  2,3,5,6,7 in V161025x","-1"
"175","v161047","1. Democratic Senate candidate","1"
"268","v161047","2. Republican Senate candidate","2"
"364","v161047","3. Other Senate candidate (name on Ballot Card)","3"
"450","v161047","5. Other SPECIFY (name not on Ballot Card)","5"
"529","v161047","-9. Refused","-9"
"619","v161047","-8. Don't know (FTF only)","-8"
"718","v161047","-1. Inap, 2,-8,-9 in V161046/ 1 in V161025x and 01,21 in V161045x/ 2,3,4,5,6,7 in V161025x","-1"
"176","v161048","1. Candidate/party mentioned as Democratic","1"
"269","v161048","2. Candidate/party mentioned as Republican","2"
"365","v161048","3. Other mention, party not given, or other party mention","3"
"451","v161048","-9. Refused","-9"
"530","v161048","-1. Inap, 2,-8,-9 in V161046/ 4 in V161025x and 01,21 in V161045x/ 1,2,3,5,6,7 in V161025x","-1"
"177","v161049","1. Yes","1"
"270","v161049","2. No","2"
"366","v161049","-9. Refused","-9"
"452","v161049","-8. Don't know (FTF only)","-8"
"531","v161049","-1. Inap V161025x in(2,5) and 00,01,20,21 in V161045x/ 1,3,4,6 in V161025x","-1"
"178","v161050","1. Democratic Senate candidate","1"
"271","v161050","2. Republican Senate candidate","2"
"367","v161050","3. Other Senate candidate (name on Ballot Card)","3"
"453","v161050","5. Other SPECIFY (name not on Ballot Card)","5"
"532","v161050","-9. Refused","-9"
"620","v161050","-8. Don't know (FTF only)","-8"
"719","v161050","-4. Error: missing due to program error","-4"
"87","v161050","-1. Inap, 2,-8,-9 in V161049/ 2 in V161025x and 00,01,20,21 in V161045x/ 4 in V161040/ 1,3,4,5,6 in V161025x","-1"
"179","v161051","1. Candidate/party mentioned as Democratic","1"
"272","v161051","2. Candidate/party mentioned as Republican","2"
"368","v161051","3. Other mention, party not given, or other party mention","3"
"454","v161051","-9. Refused","-9"
"533","v161051","-8. Don't know (FTF only)","-8"
"621","v161051","-4. Error: missing due to program error","-4"
"720","v161051","-1. Inap, 2,-8,-9 in V161049/ 5 in V161025x and 00,01,20,21 in V161045x/ 1,2,3,5,-8,-9 in V161040/ 1,2,3,4,6 in V161025x","-1"
"180","v161052","1. Yes","1"
"273","v161052","2. No","2"
"369","v161052","-8. Don't know (FTF only)","-8"
"455","v161052","-1. Inap, 3,6 in V161025x and 00,20 in V161045x/ 1,2,4,5,7 in V161025x/ 3 in V161025x, Senate race in state and -9 in V1","-1"
"183","v161053","1. Democratic Senate candidate","1"
"274","v161053","2. Republican Senate candidate","2"
"370","v161053","3. Other Senate candidate (name on Ballot Card)","3"
"456","v161053","5. Other SPECIFY (name not on Ballot Card)","5"
"534","v161053","-8. Don't know (FTF only)","-8"
"622","v161053","-4. Error: missing due to program error","-4"
"721","v161053","-1. Inap, 2,-8,-9 in V161052/ 3 in V161025x and 00,20 in V161045x/ 1,2,4,5,6,7 in V161025x/  Senate race in state and -9","-1"
"184","v161054","1. Candidate/party mentioned as Democratic","1"
"275","v161054","2. Candidate/party mentioned as Republican","2"
"371","v161054","3. Other mention, party not given","3"
"457","v161054","-4. Error: missing due to program error","-4"
"535","v161054","-1. Inap, 2,-8,-9 in V161052/ 6 in V161025x and 00,20 in V161045x/ 1,2,3,4,5,7 in V161025x","-1"
"185","v161055","1. Yes, voted for Governor","1"
"276","v161055","2. No, didn't vote for Governor","2"
"372","v161055","-1. Inap, 1,4 in V161025x and 01,11 in V161045x/ 2,3,5,6,7 in V161025x","-1"
"186","v161056","1. Democratic Governor candidate","1"
"277","v161056","2. Republican Governor candidate","2"
"373","v161056","3. Other Governor candidate (name on Ballot Card)","3"
"458","v161056","5. Other SPECIFY (name not on Ballot Card)","5"
"536","v161056","-1. Inap, 2,-8,-9 in V161055/ 1 in V161025x and 01,11 in V161045x/ 2,3,4,5,6,7 in V161025x","-1"
"187","v161057","1. Candidate/party mentioned as Democratic","1"
"278","v161057","2. Candidate/party mentioned as Republican","2"
"374","v161057","3. Other mention, party not given, or other party mention","3"
"459","v161057","-1. Inap, 2,-8,-9 in V161055/ 4 in V161025x and 01,11 in V161045x/ 1,2,3,5,6,7 in V161025x","-1"
"188","v161058","1. Yes","1"
"279","v161058","2. No","2"
"375","v161058","-8. Don't know (FTF only)","-8"
"460","v161058","-1. Inap, 2,5 in V161025x and 00,01,10,11 in V161045x/ 1,3,4,6,7 in V161025x","-1"
"189","v161059","1. Democratic Governor candidate","1"
"280","v161059","2. Republican Governor candidate","2"
"376","v161059","3. Other Governor candidate (name on Ballot Card)","3"
"461","v161059","5. Other SPECIFY (name not on Ballot Card)","5"
"537","v161059","-9. Refused","-9"
"623","v161059","-8. Don't know (FTF only)","-8"
"722","v161059","-4. Error: missing due to program error","-4"
"88","v161059","-1. Inap, 2,-8,-9 in V161058/ 2 in V161025x and 00,01,10,11 in V161045x/ 1,3,4,5,6,7 in V161025x","-1"
"190","v161060","1. Candidate/party mentioned as Democratic","1"
"281","v161060","2. Candidate/party mentioned as Republican","2"
"377","v161060","3. Other mention, party not given, or other party mention","3"
"462","v161060","8. Other mention given as: DK (WEB, 1 case)","8"
"538","v161060","-9. Refused","-9"
"624","v161060","-8. Don't know (FTF only)","-8"
"723","v161060","-1. Inap, 2,-8,-9 in V161058/ 5 in V161025x and 00,01,10,11 in V161045x/ 1,2,3,4,6,7 in V161025x","-1"
"192","v161061","1. Yes","1"
"282","v161061","2. No","2"
"378","v161061","-1. Inap, 3,6 in V161025x and 00,10 in V161945x/ 1,2,4,5,7 in V161025x","-1"
"193","v161062","1. Democratic Senate candidate","1"
"283","v161062","2. Republican Senate candidate","2"
"379","v161062","3. Other Senate candidate (name on Ballot Card)","3"
"463","v161062","5. Other SPECIFY (name not on Ballot Card)","5"
"539","v161062","-4. Error: missing due to program error","-4"
"625","v161062","-1. Inap, 2,-8,-9 in V161061/ 3 in V161025x and 00,10 in V161045x/ 1,2,4,5,6,7 in V161025x","-1"
"194","v161063","1. Candidate/party mentioned as Democratic","1"
"284","v161063","2. Candidate/party mentioned as Republican","2"
"380","v161063","3. Other mention, party not given, or other party mention","3"
"464","v161063","-1. Inap, 2,-8,-9 in V161061/ 6 in V161025x and 00,10 in V161045x/ 1,2,3,4,5,7 in V161025x","-1"
"195","v161064x","10. Democratic Presidential candidate: voted early for candidate","10"
"285","v161064x","11. Republican Presidential candidate: voted early for candidate","11"
"381","v161064x","12. Other Presidential candidate: voted early for candidate","12"
"465","v161064x","20. Democratic Presidential candidate: intend to vote for candidate","20"
"540","v161064x","21. Republican Presidential candidate: intend to vote for candidate","21"
"626","v161064x","22. Other Presidential candidate: intend to vote for candidate","22"
"724","v161064x","30. Democratic Presidential candidate: preference (no vote intent)","30"
"89","v161064x","31. Republican Presidential candidate: preference (no vote intent)","31"
"96","v161064x","32. Other Presidential candidate: preference (no vote intent)","32"
"105","v161064x","-1. Inap, no vote/intent/preference","-1"
"196","v161065x","10. Democratic House candidate: voted early for candidate","10"
"286","v161065x","11. Republican House candidate: voted early for candidate","11"
"382","v161065x","12. Other House candidate: voted early for candidate","12"
"466","v161065x","20. Democratic House candidate: intend to vote for candidate","20"
"541","v161065x","21. Republican House candidate: intend to vote for candidate","21"
"627","v161065x","22. Other House candidate: intend to vote for candidate","22"
"725","v161065x","30. Democratic House candidate: preference (no vote intent)","30"
"810","v161065x","31. Republican House candidate: preference (no vote intent)","31"
"97","v161065x","32. Other House candidate: preference (no vote intent)","32"
"106","v161065x","-1. Inap, no vote/intent/preference","-1"
"197","v161066x","10. Democratic Senate candidate: voted early for candidate","10"
"287","v161066x","11. Republican Senate candidate: voted early for candidate","11"
"383","v161066x","12. Other Senate candidate: voted early for candidate","12"
"467","v161066x","20. Democratic Senate candidate: intend to vote for candidate","20"
"542","v161066x","21. Republican Senate candidate: intend to vote for candidate","21"
"628","v161066x","22. Other Senate candidate: intend to vote for candidate","22"
"726","v161066x","30. Democratic Senate candidate: preference (no vote intent)","30"
"811","v161066x","31. Republican Senate candidate: preference (no vote intent)","31"
"98","v161066x","32. Other Senate candidate: preference (no vote intent)","32"
"107","v161066x","-1. Inap, no vote/intent/preference/ no Senate race in state","-1"
"198","v161067x","10. Democratic Gubernatorial candidate: voted early for candidate","10"
"288","v161067x","11. Republican Gubernatorial candidate: voted early for candidate","11"
"384","v161067x","12. Other Gubernatorial candidate: voted early for candidate","12"
"468","v161067x","20. Democratic Gubernatorial candidate: intend to vote for candidate","20"
"543","v161067x","21. Republican Gubernatorial candidate: intend to vote for candidate","21"
"629","v161067x","22. Other Gubernatorial candidate: intend to vote for candidate","22"
"727","v161067x","30. Democratic Gubernatorial candidate: preference (no vote intent)","30"
"812","v161067x","31. Republican Gubernatorial candidate: preference (no vote intent)","31"
