Number,Name
v000158,Post.CSheet.3. Item 1. R at samp addr
v000159,Post.CSheet.4. Item 2b. PHONE: New phone
v000160,Post.CSheet.5. Item 2b. FTF: Addr status
v000161,Post.CSheet.6. FTF type structure
v000162,Post.CSheet.7. FTF gatekeeper
v000163,Post.CSheet.8. FTF type gatekeeper
v000164,Post.CSheet.9. Resist from contact
v000165,Post.CSheet.10. Contct resist-waste time
v000166,Post.CSheet.11. Contct resist-too person
v000167,Post.CSheet.12. Contct resist-confidenti
v000168,Post.CSheet.13. Contct resist-not intere
v000169,Post.CSheet.14. Contct resist-too busy
v000170,Post.CSheet.15. Contct resist-health
v000171,Post.CSheet.16. Contct resist-other
v000172,Post.CSheet.17. R refuse initially
v000173,Post.CSheet.18. R break appts
v000174,Post.CSheet.19. Was R contact resister?
v000175,Post.CSheet.20. SUMMARY: did R resist
v000176,Post.CSheet.21. R resist- waste time
v000177,Post.CSheet.22. R resist- too personal
v000178,Post.CSheet.23. R resist- confidentialit
v000179,Post.CSheet.24. R resist- not interested
v000180,Post.CSheet.25. R resist- too busy
v000181,Post.CSheet.26. R resist- health
v000182,Post.CSheet.27. R resist- other
v000183,Post.CSheet.28. Ever make contact (NI)
v000183a,Post.CSheet.28a. Ever contact R (NI)
v000184,Post.CSheet.29. Reason no contact (NI)
v000184a,Post-CSheet.30. CSMS estimated income
v000184b,Post-CSheet.31. CSMS estimated HH race
v000184c,Post-CSheet.32. CSMS est HH race certain
v000184d,Post-CSheet.33. CSMS estimated Hispanic
v000184e,Post-CSheet.34. CSMS est Hispanic certai
v000185,Post.IWR.1. Interviewer of record
v000186,Post.IWR.2. Supervisor
v000187,Post.IWR.3. Interviewer gender
v000188,Post.IWR.4. Interviewer education
v000189,Post.IWR.5. Interviewer race
v000190,Post.IWR.6. Interviewer ethnicity
v000191,Post.IWR.7. Interviewer languages
v000192,Post.IWR.8. Yrs Interviewer experience
v000193,Post.IWR.9. Interviewer age (bracketed)
v000194,Post.Cand.1. House race type
v000194a,Post.Cand.1a. Retiring House Repr name
v000194b,Post.Cand.1b. Retiring House Repr code
v000194c,Post.Cand.1c. Retiring House Repr gender
v000194d,Post.Cand.1d. Winner of House election
v000194e,Post.Cand.1e. Winner of Senate election
v000194f,Post.Cand.1f. Competitiveness of CD
v000194g,Post.Cand.1g. Open seat in 1998?
v000195,Post.Cand.2. House Democratic cand name
v000196,Post.Cand.3. House Democratic cand code
v000197,Post.Cand.4. House Democratic cand gendr
v000198,Post.Cand.5. House Republican cand name
v000199,Post.Cand.6. House Republican cand code
v000200,Post.Cand.7. House Republican cand gendr
v000201,Post.Cand.8. House Ind cand name
v000202,Post.Cand.9. House Ind cand code
v000202a,Post.Cand.9a. House Ind cand party
v000203,Post.Cand.10. House Ind cand gender
v000204,Post.Cand.11. Senate race type
v000205,Post.Cand.12. Senate Democr cand name
v000206,Post.Cand.13. Senate Democr cand code
v000207,Post.Cand.14. Senate Democr cand gender
v000208,Post.Cand.15. Senate Repub cand name
v000209,Post.Cand.16. Senate Repub cand code
v000210,Post.Cand.17. Senate Repub cand gender
v000211,Post.Cand.18. Senate Ind 1 cand name
v000212,Post.Cand.19. Senate Ind 1 cand code
v000212a,Post.Cand.19a. Senate Ind 1 cand party
v000213,Post.Cand.20. Senate Ind 1 cand gender
v000214,Post.Cand.21. Senate Ind 2 cand name
v000215,Post.Cand.22. Senate Ind 2 cand code
v000215a,Post.Cand.22a. Senate Ind 2 cand party
v000216,Post.Cand.23. Senate Ind 2 cand gender
v000217,Post.Cand.24. Outside Hse Dem cand name
v000218,Post.Cand.25. Outside Hse Dem cand code
v000219,Post.Cand.26. Outside Hse Dem cand gendr
v000220,Post.Cand.27. Outside Hse Rep cand name
v000221,Post.Cand.28. Outside Hse Rep cand code
v000222,Post.Cand.29. Outside Hse Rep cand gendr
v000223,Post.Cand.30. Outside Hse Ind cand name
v000224,Post.Cand.31. Outside Hse Ind cand code
v000225,Post.Cand.32. Outside Hse Ind cand gendr
v000226,Post.Cand.33. Outside Hse race type
v000226a,Post.Cand.33a. Outside Sen race type
v000227,Post.Cand.34. Outside Sen Dem cand name
v000228,Post.Cand.35. Outside Sen Dem cand code
v000229,Post.Cand.36. Outside Sen Dem cand gendr
v000230,Post.Cand.37. Outside Sen Rep cand name
v000231,Post.Cand.38. Outside Sen Rep cand code
v000232,Post.Cand.39. Outside Sen Rep cand gendr
v000233,Post.Cand.40. Outside Sen Ind1 cand name
v000234,Post.Cand.41. Outside Sen Ind1 cand code
v000235,Post.Cand.42. Outside Sen Ind1 cand gend
v000236,Post.Cand.43. Outside Sen Ind2 cand name
v000237,Post.Cand.44. Outside Sen Ind2 cand code
v000238,Post.Cand.45. Outside Sen Ind2 cand gend
v000239,Post.Summary.1. Post timing - section A
v000240,Post.Summary.2. Post timing - section B
v000241,Post.Summary.3. Post timing - section C
v000242,Post.Summary.4. Post timing - section D
v000243,Post.Summary.5. Post timing - section E
v000244,Post.Summary.6. Post timing - section F
v000245,Post.Summary.7. Post timing - section G
v000246,Post.Summary.8. Post timing - section H
v000247,Post.Summary.9. Post timing - section J
v000248,Post.Summary.10. Post timing - section K
v000249,Post.Summary.11. Post timing - section L
v000250,Post.Summary.12. Post timing - section M
v000251,Post.Summary.13. Post timing - section N
v000252,Post.Summary.14. Post timing - section P
v000253,Post.Summary.15. Post timing - section Q
v000254,Post.Summary.16. Post timing - section R
v000255,Post.Summary.17. Post timing - section S
v000256,Post.Summary.18. Post timing - section T
v000257,Post.Summary.19. Post timing - section V
v000258,Post.Summary.20. Post timing - section Y
v000259,Post.Summary.21. Post timing - section Z
v000260,Post.Summary.22. Wrong CD admin(preload)
v000261,Post.Summary.23. Type error in preload
v000262,Post.Summary.24. Flag-Post rand failure
v000301,A1. Attention R paid to campaigns
v000302,A2. Does R care about Pres election
v000303,A3. Did R vote in 1996 election
v000304,A3a. Who did R vote for in 1996
v000305,A4a. Does R like anything about Gore
v000306,A4b(1). #1 detail about Gore R likes
v000307,A4b(2). #2 detail about Gore R likes
v000308,A4b(3). #3 detail about Gore R likes
v000309,A4b(4). #4 detail about Gore R likes
v000310,A4b(5). #5 detail about Gore R likes
v000311,A4c. Does R dislike anything about Gore
v000312,A4d(1). #1 detail about Gore R dislikes
v000313,A4d(2). #2 detail about Gore R dislikes
v000314,A4d(3). #3 detail about Gore R dislikes
v000315,A4d(4). #4 detail about Gore R dislikes
v000316,A4d(5). #5 detail about Gore R dislikes
v000317,A5a. Does R like anything about Bush
v000318,A5b(1). #1 detail about Bush R likes
v000319,A5b(2). #2 detail about Bush R likes
v000320,A5b(3). #3 detail about Bush R likes
v000321,A5b(4). #4 detail about Bush R likes
v000322,A5b(5). #5 detail about Bush R likes
v000323,A5c. Does R dislike anything about Bush
v000324,A5d(1). #1 detail about Bush R dislikes
v000325,A5d(2). #2 detail about Bush R dislikes
v000326,A5d(3). #3 detail about Bush R dislikes
v000327,A5d(4). #4 detail about Bush R dislikes
v000328,A5d(5). #5 detail about Bush R dislikes
v000329,A6. Number of days R watched nat'l news
v000330,A6a/A6a.T. Attention to national news
v000331,A7. Days R watched early local news
v000332,A8. Days R watched late local news
v000333,A8a/A8a.T. Attention to local news
v000334,A9. Does R have cable or satellite tv
v000335,A10. Days R read a daily newspaper
v000336,A10a. Did R read about campaign in paper
v000337,A10b/A10b.T. Attention to newspaper arti
v000338,A11. Did R see ads for candidates on tv
v000339,A12. Approve/disappr Clinton job
v000340,A12a. Strength of approval/disapproval o
v000341,A12x. Summary app/disapp Clinton job
v000342,B1. Did R care about House election
v000343,B2. Does R remember names of House cands
v000344,"B2a. #1 recalled name, House cand"
v000345,"B2a1. #1 recall party, House cand"
v000346,B2ax1. #1 House cand recall-actual party
v000347,B2ax2. #1 House cand recall- accuracy
v000348,"B2b. #2 recalled name, House cand"
v000349,"B2b1. #2 recall party, House cand"
v000350,B2bx1. #2 House cand recall-actual party
v000351,B2bx2. #2 House cand recall- accuracy
v000352,"B2c. #3 recalled name, House cand"
v000353,"B2c1. #3 recall party, House cand"
v000354,B2cx1. #3 House cand recall-actual party
v000355,B2cx2. #3 House cand recall-accuracy
v000356,B3. Congress job approve/dissapr
v000357,B3a. Strength of approval/disapproval of
v000358,B3x. Summary R approval of US Congress
v000359,C1a/C1a.T. Thermometer Bill Clinton
v000360,C1b/C1b.T. Thermometer Gore
v000361,C1c/C1c.T. Thermometer George W Bush
v000362,C1d/C1d.T. Thermometer Buchanan
v000363,C1e/C1e.T. Thermometer Nader
v000364,C1f/C1f.T. Thermometer Mccain
v000365,C1g/C1g.T. Thermometer Bradley
v000366,C1h/C1h.T. Thermometer Lieberman
v000367,C1j/C1j.T. Thermometer Cheney
v000368,C1k/C1k.T. Thermometer Hillary Clinton
v000369,C2a. Thermometer Dem Party
v000370,C2b. Thermometer Rep Party
v000371,C2c. Thermometer Reform Party
v000372,C2d. Thermometer parties in general
v000373,D1. Like anything- Dem Party
v000374,D1a(1). #1 like Dem Party
v000375,D1a(2). #2 like Dem Party
v000376,D1a(3). #3 like Dem Party
v000377,D1a(4). #4 like Dem Party
v000378,D1a(5). #5 like Dem Party
v000379,D2. Dislike anything- Dem Party
v000380,D2a(1). #1 dislike Dem Party
v000381,D2a(2). #2 dislike Dem Party
v000382,D2a(3). #3 dislike Dem Party
v000383,D2a(4). #4 dislike Dem Party
v000384,D2a(5). #5 dislike Dem Party
v000385,D3. Like anything- Rep Party
v000386,D3a(1). #1 like Rep Party
v000387,D3a(2). #2 like Rep Party
v000388,D3a(3). #3 like Rep Party
v000389,D3a(4). #4 like Rep Party
v000390,D3a(5). #5 like Rep Party
v000391,D4. Dislike anything- Rep Party
v000392,D4a(1). #1 dislike Rep Party
v000393,D4a(2). #2 dislike Rep Party
v000394,D4a(3). #3 dislike Rep Party
v000395,D4a(4). #4 dislike Rep Party
v000396,D4a(5). #5 dislike Rep Party
v000397,D5. Preference for divided government
v000398,E1/E1.T. Better/worse off in last year
v000399,E1a. How much better off- last year
v000400,E1b. How much worse off- last year
v000401,E1x. Summary R econ situation last year
v000402,E2/E2.T. Did R delay med/dent treatment
v000403,E3/E3.T. Expect better/worse in next yea
v000404,E3a. How much better off- next year
v000405,E3b. How much worse off- next year
v000406,E3x. Summary R econ situation next year
v000407,F1a. Angry- Gore affect
v000408,F1aa. Angry- how often Gore affect
v000409,F1b. Hopeful- Gore affect
v000410,F1bb. Hopeful- how often Gore affect
v000411,F1c. Afraid- Gore affect
v000412,F1cc. Afraid- how often Gore affect
v000413,F1d. Proud- Gore affect
v000414,F1dd. Proud- how often Gore affect
v000415,F2a. Angry- Bush affect
v000416,F2aa. Angry- how often Bush affect
v000417,F2b. Hopeful- Bush affect
v000418,F2bb. Hopeful- how often Bush affect
v000419,F2c. Afraid- Bush affect
v000420,F2cc. Afraid- how often Bush affect
v000421,F2d. Proud- Bush affect
v000422,F2dd. Proud- how often Bush affect
v000423,F3a. Angry- Buchanan affect
v000424,F3aa. Angry- how often Buchanan affect
v000425,F3b. Hopeful- Buchanan affect
v000426,F3bb. Hopeful- how often Buchanan affect
v000427,F3c. Afraid- Buchanan affect
v000428,F3cc. Afraid- how often Buchanan affect
v000429,F3d. Proud- Buchanan affect
v000430,F3dd. Proud- how often Buchanan affect
v000431,F6(1). #1 most important problem
v000432,F6(2). #2 most important problem
v000433,F6(3). #3 most important problem
v000434,F6(4). #4 most important problem
v000435,F6x. Checkpoint for # of mentions
v000436,F7. Choice - most important problem
v000437,F8. Gov't performance on most imp proble
v000438,F9. Party performance on most imp proble
v000439,G1a. Self placement lib-con scale
v000439a,G1a.T. Self placement lib-con scale phon
v000440,G1ax. Summary: combined FTF/ph
v000441,G1b. Had to choose lib-con self-placemt
v000441a,G1bx. Summary: comb FTF/phone-lib-con
v000442,G6.E. Self placement lib-con branching
v000443,G6a.E. Had to choose lib-con branching
v000444,G6b.E. R strong liberal or not
v000445,G6c.E. R strong conservative or not
v000446,G6x1. Summary self plcmnt lib-con scale
v000446a,G6x1a. 7pt lib-con summary - FTF
v000446b,G6x1b. 7pt lib-con summary - PHONE
v000447,G6x2. Comb.7pt & branching summ
v000448,G2. Clinton placement lib-con scale FTF
v000448a,G2.T. Clinton plcmnt lib-con scale phone
v000449,G2x. Combined FTF/ph Clinton lib-con
v000450,G7.E. Clinton placement lib-con branch
v000451,G7a.E. Clinton strong liberal or not
v000452,G7b.E. Clinton strong conservtive or not
v000453,G7x1.E. 5-pt br summary Clinton lib-con
v000454,G7x2. Comb.7pt/br summ Clinton lib-con
v000455,G3. Gore placement lib-con scale FTF
v000455a,G3.T. Gore placement lib-con scale phone
v000456,G3x. Combined FTF/ph Gore lib-con scale
v000457,G3a. Gore-certain lib-con placement FTF
v000458,G3a.T. Gore-certain lib-con plcmnt phone
v000458a,G3ax.T. Gore-certain lib-con plcmnt
v000459,G8.E. Gore placement lib-con branch
v000460,G8a.E. Gore strong liberal or not
v000461,G8b.E. Gore strong conservative or not
v000462,G8x1.E. 5-pt br summary Gore lib-con
v000463,G8x2. Comb.7pt/br summ Gore lib-con
v000464,G8c.E. Gore-certain lib-con placement br
v000464a,G8cx 7pt/branching summary Gore crtn l-c
v000465,G4. Bush placement lib-con scale FTF
v000465a,G4.T. Bush placement lib-con scale phone
v000466,G4x. Combined FTF/ph Bush lib-con scale
v000467,G4a. Bush-certain lib-con placement FTF
v000468,G4a.T. Bush-certain plcmnt lib-con phone
v000468a,G4ax.T. Certain Bush lib-con placement
v000469,G9.E. Bush placement lib-con branch
v000470,G9a.E. Bush strong liberal or not
v000471,G9b.E. Bush strong conservative or not
v000472,G9x1.E. 5-pt br summary Bush lib-con
v000473,G9x2. Comb.7pt/br summ Bush lib-con
v000474,G9c.E. Bush-certain lib-con placement br
v000474a,G9cx 7pt/branching summary Bush crtn l-c
v000475,G5. Buchanan placement lib-con scale FTF
v000475a,G5.T. Buchan plcmnt lib-con scale phon
v000476,G5x. Combined FTF/ph Buchan lib-con scl
v000477,G5a. Buchan-crtn lib-con plcemnt FTF
v000478,G5a.T. Buchan-crtn lib-con plcemnt phone
v000478a,G5ax.T. Certain Buchnn lib-con placement
v000479,G10.E. Buchanan placement lib-con branch
v000480,G10a.E. Buchanan strong liberal or not
v000481,G10b.E. Buchan strong conserv or not
v000482,G10x1.E. 5-pt br summary Buchan lib-con
v000483,G10x2. Comb.7pt/br summ Buchan lib-con
v000484,G10c.E. Certain-Buchan plcmnt lib-con br
v000484a,G10cx. 7pt/branching summ Buchan l-c crt
v000485,G11. Who does R think will be elected
v000486,G11a. Race close or not- cand named
v000487,G11b. Race close or not- cand not named
v000488a,H1. US econ bttr/worse in last year stan
v000488b,H1.E. US econ bttr/worse in last year ex
v000489,H1a. How much better US econ next year
v000490,H1b. How much worse US econ next year
v000491,H1x. Summary US econ btr/worse last year
v000492a,H2. Esr/hrdr to find work last year stan
v000492b,H2.E. Esr/hrdr to find work last year ex
v000493,H2a. How much harder to find work lst yr
v000494,H2b. How much easier to find work lst yr
v000495,H2x. Summary employ opps in last year
v000496a,H4. US econ bttr/worse in next year stan
v000496b,H4.E. US econ bttr/worse in next year ex
v000497,H4a. How much better US econ in nxt year
v000498,H4b. How much worse US econ in nxt year
v000499,H4x. Summary US econ in next year
v000500,H5. Approve/dissap Clinton w/economy
v000501,H5a. How much approve Clinton w/economy
v000502,H5b. How much dissprv Clinton w/economy
v000503,H5x. Summary Clinton w/economy
v000504,H6. Is R invested in stock market
v000505,H7. Which party R thinks best to handle
v000506,H8. Which party R thinks would avoid war
v000507,H9. Us position in world weaker/stronger
v000508,H10. Increase/decrease immigratration
v000509,H10a. Inc/dec immigratn little or a lot
v000510,H10x. Summary immigration level
v000511a,H11. Favor/oppose import limits stan
v000511b,H11.E. Favor/opp import limits ex
v000512,H11x. Combined versions import limits
v000513a,H12. US better off to stay at home stan
v000513b,H12.E. US better off to stay at home ex
v000514,H12x. Combined versions isolationism
v000515,H13. Clinton foreign rel approve/disapp
v000516,H13a. Strength appove Clinton frgn rel
v000517,H13b. Strength dissapr Clinton frgn rel
v000518,H13x. Summary Clinton foreign relations
v000519,K1. Does R consider self Rep Dem or Ind
v000520,K1a. Is R a strong Democrat or not
v000521,K1b. Is R a strong Republican or not
v000522,K1c. Is R closer to Rep or Dem Party
v000523,K1x. Party ID summary
v000524,K2a. Gore trait - moral
v000525,K2b. Gore trait - really cares
v000526,K2c. Gore trait - knowledgeable
v000527,K2d. Gore trait - strong leader
v000528,K2e. Gore trait - dishonest
v000529,K2f. Gore trait - intelligent
v000530,K2g. Gore trait - out of touch
v000531,K3a. Bush trait - moral
v000532,K3b. Bush trait - really cares
v000533,K3c. Bush trait - knowledgeable
v000534,K3d. Bush trait - strong leader
v000535,K3e. Bush trait - dishonest
v000536,K3f. Bush trait - intelligent
v000537,K3g. Bush trait - out of touch
v000538,K4a. Buchanan trait - moral
v000539,K4b. Buchanan trait - really cares
v000540,K4c. Buchanan trait- knowledgeable
v000541,K4d. Buchanan trait - strong leader
v000542,K4e. Buchanan trait - dishonest
v000543,K4f. Buchanan trait - intelligent
v000544,K4g. Buchanan trait - out of touch
v000545,L1a. Self plcmnt-services/spend scl FTF
v000546,L1a.T. Self plcmnt-services/spend scl ph
v000547,L1a1.T. How much reduce serv/spend phone
v000548,L1a2.T. How much incr serv/spend phone
v000549,L1ax1. 5-pt br summary of self on serv/s
v000550,L1ax2. Comb.7pt/br summ of self on serv
v000551,L1b. Clinton- serv/spend scale FTF
v000552,L1b.T. Clinton- serve/spend scale phone
v000553,L1b1.T. Clinton- how much red srv/spd ph
v000554,L1b2.T. Clinton- how much inc srv/spd ph
v000555,L1bx1. 5-pt br summary Clinton srv/spnd
v000556,L1bx2. Comb.7pt/br summ Clinton srv/spnd
v000557,L1c. Gore- serv/spend scale FTF
v000558,L1c.T. Gore- serv/spend scale phone
v000559,L1c1.T. Gore- how much red serv/spend ph
v000560,L1c2.T. Gore- how much inc serv/spend ph
v000561,L1cx1. 5-pt br summary Gore serv/spend
v000562,L1cx2. Comb.7pt/br summ Gore serv/spend
v000563,L1d. Bush- serv/spend scale FTF
v000564,L1d.T. Bush- serv/spend scale phone
v000565,L1d1.T. Bush- how much reduce serv/spend
v000566,L1d2.T. Bush- how much increase serv/spe
v000567,L1dx1. 5-pt br summary Bush serv/spend
v000568,L1dx2. Comb.7pt/br summ Bush serv/spend
v000569,L1e. Dem Party- serv/spend scale FTF
v000570,L1e.T. Dem Party- serv/spend scale phone
v000571,L1e1.T. Dem Party-how much red srv/sp ph
v000572,L1e2.T. Dem Party-how much inc srv/sp ph
v000573,L1ex1. 5-pt br summary Dem Party srv/spd
v000574,L1ex2. Comb.7pt/br summ Dem Party srv/sp
v000575,L1f. Rep Party- serv/spend scale FTF
v000576,L1f.T. Rep Party- serv/spend scale phone
v000577,L1f1.T. Rep Party-how much red srv/sp ph
v000578,L1f2.T. Rep Party-how much inc srv/sp ph
v000579,L1fx1. 5-pt br summary Rep Party srv/spd
v000580,L1fx2. Comb.7pt/br summ Rep Party srv/sp
v000581,L2a. Self plcemnt-def spending scale FTF
v000582,L2a.T. Self plcemnt-def spending scale p
v000583,L2a1.T. Govt inc/dec def spending phone
v000584,L2a1a.T. How much reduce def spending ph
v000585,L2a1b.T. How much incres def spending ph
v000586,L2ax1. 5-pt br summary defense spending
v000587,L2ax2. Comb.7pt/br summ defense spending
v000588,L2b. Gore- defense spending scale FTF
v000589,L2b.T. Gore- defense spending scale ph
