Number,Name
v081115e,HHList.15e. PERSON #5: citizen
v081115f,HHList.15f. PERSON #5: age
v081115g,"HHList.15g. PERSON #5: 18 by October 30, 2008"
v081115h,HHList.15h. RESTRICTED:PERSON #5: relationship to informant
v081116a,HHList.16a. PERSON #6: gender
v081116b,HHList.16b. PERSON #6: race
v081116c,HHList.16c. PERSON #6: Latino
v081116d,HHList.16d. PERSON #6: race and Latino status
v081116e,HHList.16e. PERSON #6: citizen
v081116f,HHList.16f. PERSON #6: age
v081116g,"HHList.16g. PERSON #6: 18 by October 30, 2008"
v081116h,HHList.16h. RESTRICTED:PERSON #6: relationship to informant
v081117a,HHList.17a. PERSON #7: gender
v081117b,HHList.17b. PERSON #7: race
v081117c,HHList.17c. PERSON #7: Latino
v081117d,HHList.17d. PERSON #7: race and Latino status
v081117e,HHList.17e. PERSON #7: citizen
v081117f,HHList.17f. PERSON #7: age
v081117g,"HHList.17g. PERSON #7: 18 by October 30, 2008"
v081117h,HHList.17h. RESTRICTED:PERSON #7: relationship to informant
v081118a,HHList.18a. PERSON #8: gender
v081118b,HHList.18b. PERSON #8: race
v081118c,HHList.18c. PERSON #8: Latino
v081118d,HHList.18d. PERSON #8: race and Latino status
v081118e,HHList.18e. PERSON #8: citizen
v081118f,HHList.18f. PERSON #8: age
v081118g,"HHList.18g. PERSON #8: 18 by October 30, 2008"
v081118h,HHList.18h. RESTRICTED:PERSON #8: relationship to informant
v081119,HHList.19. HOUSEHOLD LISTING COMPLETED: date MMDD2008
v081120,HHList.19. HOUSEHOLD LISTING COMPLETED: language [% English]
v081121,HHList.19. HOUSEHOLD LISTING COMPLETED: interviewer ID
v081201a,Sample.1a. State Postal abbreviation
v081201b,Sample.1b. State FIPS code
v081202a,Sample.2a. Postal abbrev and Congr district number
v081202b,Sample.2b. Congressional district number
v081203a,Sample.3a. Corrected state Postal abbrev-Congr district num
v081203b,Sample.3b. Corrected Congressional district number
v081204,Sample.4. Census Region
v081205,Sample.5. RESTRICTED: Primary area number
v081206,Sample.6. RESTRICTED: Stratum (stage 1)
v081207,Sample.7. RESTRICTED: FIPS state-county code
v081208,Sample.8. RESTRICTED: CBG
v081209,Sample.9. RESTRICTED: Census Tract
v081210,Sample.10. RESTRICTED: Census Place
v081211,Sample.11. RESTRICTED: MCD
v081212,Sample.12. RESTRICTED: MSA
v081212a,Sample.12a. RESTRICTED: CSA
v081212b,Sample.12b. RESTRICTED: CBSA
v082001a,PreAdmin.1a. Beginning Date of Pre-election IW: month
v082001b,PreAdmin.1b. Beginning Date of Pre-election IW: day
v082001c,PreAdmin.1c. Beginning Date of Pre-election IW: date MMDD
v082002a,PreAdmin.2a. Ending Date of Pre-election IW: month
v082002b,PreAdmin.2b. Ending Date of Pre-election IW: day
v082002c,PreAdmin.2c. Ending Date of Pre-election IW: date MMDD
v082003a,PreAdmin.3a. No. days til election: Pre-election IW beg date
v082003b,PreAdmin.3b. No. days til election: Pre-election IW end date
v082004,PreAdmin.4. Total no. IW sessions: Pre-election IW
v082005,PreAdmin.5. Total no. interviewers: Pre-election IW
v082006,PreAdmin.6. Version: Pre-election IW
v082007,PreAdmin.7. Total no. calls: Pre-election
v082008,PreAdmin.8. Interviewer IW number: Pre-election IW (nth IW)
v082009,PreAdmin.9. Mode of interview: Pre-election IW
v082010,PreAdmin.10. Length of interview: Pre-election IW
v082011,PreAdmin.11. Language of interview: Pre-election IW
v082012a,PreAdmin.12a. Interview verification: Pre-election IW
v082012b,PreAdmin.12b. Interview evaluation: Pre-election IW
v082013,PreAdmin.13. Sample release (Pre-election)
v082014,PreAdmin.14. Interview recorded: Pre-election IW
v082015,PreAdmin.15. Respondent payment amount: Pre-election IW
v082016,PreAdmin.16. Respondent payment mode: Pre-election IW
v082017a,PreAdmin.17a. Refusal made: Pre-election IW
v082017b,PreAdmin.17b. Refusal conversion: Pre-election IW
v082018,PreAdmin.18. Respondent incentive: Pre-election IW
v082019,PreAdmin.19. Beginning time of IW: Pre-election IW
v082020,PreAdmin.20. Persuasion letter: Pre-election IW
v082021a,PreAdmin.21a. COMMENT:SUMMARY: positive comment
v082021b,PreAdmin.21b. COMMENT:SUMMARY: time-delay comment
v082021c,PreAdmin.21c. COMMENT:SUMMARY: negative comment
v082021d,PreAdmin.21d. COMMENT:SUMMARY: eligibility comment
v082021e,PreAdmin.21e. COMMENT:SUMMARY: privacy comment
v082022a,PreAdmin.22a. Comment: positive - help community
v082022b,PreAdmin.22b. Comment: positive - enjoy surveys
v082022c,PreAdmin.22c. Comment: other positive
v082022d,PreAdmin.22d. Comment: time delay - too busy
v082022e,PreAdmin.22e. Comment: time delay - bad time
v082022f,PreAdmin.22f. Comment: time delay - think about it
v082022g,PreAdmin.22g. Comment: other time delay
v082022h,PreAdmin.22h. Comment: negative - waste of time
v082022j,PreAdmin.22j. Comment: negative - don't trust surveys
v082022k,PreAdmin.22k. Comment: negative - surveys waste money
v082022m,PreAdmin.22m. Comment: negative - never do surveys
v082022n,PreAdmin.22n. Comment: negative - not interested
v082022p,PreAdmin.22p. Comment: other negative
v082022q,PreAdmin.2qa. Comment: eligibility - don't know about topic
v082022r,PreAdmin.22r. Comment: eligibility - no spouse/parn/child
v082022s,PreAdmin.22s. Comment: eligibility - too young/too old
v082022t,PreAdmin.22t. Comment: eligibility - don't vote
v082022u,PreAdmin.22u. Comment: other eligibility
v082022v,PreAdmin.22v. Comment: privacy - personal questions
v082022w,PreAdmin.22w. Comment: privacy - govt knows everything
v082022y,PreAdmin.22y. Comment: other privacy
v082023,PreAdmin.23. DWELLING UNIT: type of structure: Pre-election
v082024,PreAdmin.24. DWELLING UNIT: structure descript: Pre-election
v082024a,PreAdmin.24a. DWELLING UNIT: struct residential: Pre-electn
v082025,PreAdmin.25. DWELLING UNIT: observe urbanicity: Pre-election
v082026a,PreAdmin.26a. DWELLING UNIT: window pol signs: Pre-election
v082026b,PreAdmin.26b. DWELLING UNIT: exterior pol signs: Pre-electn
v082026c,PreAdmin.26c. DWELLING UNIT: type polit signs: Pre-election
v082027,PreAdmin.27. DWELLING UNIT:SUMMARY:access: Pre-election
v082027a,PreAdmin.27a. DWELLING UNIT: bars on windows: Pre-election
v082027b,PreAdmin.27b. DWELLING UNIT: crimewtch/sec systm: Pre-electn
v082027c,PreAdmin.27c. DWELLING UNIT: no trespassing: Pre-election
v082027d,PreAdmin.27d. DWELLING UNIT: beware of dog: Pre-election
v082027e,PreAdmin.27e. DWELLING UNIT: no solicitors: Pre-election
v082027f,PreAdmin.27f. DWELLING UNIT: security door: Pre-election
v082027g,PreAdmin.27g. DWELLING UNIT: call guard: Pre-election
v082027h,PreAdmin.27h. DWELLING UNIT: access guard: Pre-election
v082027j,PreAdmin.27j. DWELLING UNIT: gate guard: Pre-election
v082027k,PreAdmin.27k. DWELLING UNIT: staff/manager: Pre-election
v082027m,PreAdmin.27m. DWELLING UNIT: no buzzer locked: Pre-election
v082027n,PreAdmin.27n. DWELLING UNIT: buzzer no address: Pre-election
v082027p,PreAdmin.27p. DWELLING UNIT: buzzer w/address: Pre-election
v082027q,PreAdmin.27q. DWELLING UNIT: threateng animal: Pre-election
v082028,PreAdmin.28. DWELLING UNIT:SUMMARY: building: Pre-election
v082028a,PreAdmin.28a. DWELLING UNIT: roofing missing: Pre-election
v082028b,PreAdmin.28b. DWELLING UNIT: boarded windows: Pre-election
v082028c,PreAdmin.28c. DWELLING UNIT: broken windows: Pre-election
v082028d,PreAdmin.28d. DWELLING UNIT: missing siding: Pre-election
v082028e,PreAdmin.28e. DWELLING UNIT: torn screens: Pre-election
v082028f,PreAdmin.28f. DWELLING UNIT: doors off hinges: Pre-election
v082028g,PreAdmin.28g. DWELLING UNIT: peeling paint: Pre-election
v082028h,PreAdmin.28h. DWELLING UNIT: broken siding: Pre-election
v082028j,PreAdmin.28j. DWELLING UNIT: unkept yard: Pre-election
v082028k,PreAdmin.28k. DWELLING UNIT: litter/trash: Pre-election
v082029,PreAdmin.29. DWELLING UNIT:SUMMARY: area view: Pre-election
v082029a,PreAdmin.29a. DWELLING UNIT: area boarded hses: Pre-election
v082029b,PreAdmin.29b. DWELLING UNIT: area graffiti: Pre-election
v082029c,PreAdmin.29c. DWELLING UNIT: area aband cars: Pre-election
v082029d,PreAdmin.29d. DWELLING UNIT: area demolish hses: Pre-electn
v082029e,PreAdmin.29e. DWELLING UNIT: trash in road: Pre-election
v082029f,PreAdmin.29f. DWELLING UNIT: trash by bldgs: Pre-election
v082029g,PreAdmin.29g. DWELLING UNIT: factories near: Pre-election
v082029h,PreAdmin.29h. DWELLING UNIT: stores near: Pre-election
v082030,PreAdmin.30. DWELLING UNIT: relative condition: Pre-electn
v082251,PreIWR.1. Interviewer ID: Pre-election IW
v082252,PreIWR.2. Interviewer gender: Pre-election IW
v082253,PreIWR.3. Interviewer education: Pre-election IW
v082254,PreIWR.4. Interviewer race: Pre-election IW
v082255,PreIWR.5. Interviewer ethnicity: Pre-election IW
v082256,PreIWR.6. Interviewer languages: Pre-election IW
v082257,PreIWR.7. Interviewer years experience: Pre-election IW
v082258,PreIWR.8. Interviewer age group: Pre-election IW
v082401,PreRandom.1. Forward or reverse coding
v082402,PreRandom.2. OLD or NEW subset of questions
v082403,PreRandom.3. VERSION A or B campaign interest
v082404,PreRandom.4. Order of Presidential candidate likes-dislikes
v082405,PreRandom.5. Order Presidential candidate thermometers
v082406a,PreRandom.6a. Order Dem Vice Presidential thermometer
v082406b,PreRandom.6b. Order Rep Vice Presidential thermometer
v082406c,PreRandom.6c. Order Hillary Clinton thermometer
v082406d,PreRandom.6d. Order Bill Clinton thermometer
v082406e,PreRandom.6e. Order Condoleezza thermometer
v082406f,PreRandom.6f. Order Rush Limbaugh thermometer
v082407,PreRandom.7. Order Party thermometers
v082408,PreRandom.6a. Order Party Likes-Dislikes
v082409,PreRandom.10. Order Pres cands in affects
v082410a,PreRandom.10a. Order of Pres cand affect ANGRY
v082410b,PreRandom.10b. Order of Pres cand affect HOPEFUL
v082410c,PreRandom.10c. Order of Pres cand affect AFRAID
v082410d,PreRandom.10d. Order of Pres cand affect PROUD
v082411,PreRandom.11. Order of Dem-Rep Pres cand libcon placements
v082412,PreRandom.12. Order of Dem-Rep party libcon placements
v082413,PreRandom.13. VERSION C or D efficacy items
v082414,PreRandom.14. VERSION E or F economy items
v082415,PreRandom.15. Order Dem-Rep Pres cands- Version F econ items
v082416,PreRandom.16. Order of unempl/inflation economy items
v082417,PreRandom.17. VERSION G or H social trust items
v082418,PreRandom.18. Order of parties in text of party performance
v082419,PreRandom.19. VERSION P or Q party war performance question
v082420,PreRandom.20. Order of parties in text of party id question
v082421,PreRandom.21. VERSION J or K traits questions
v082422,PreRandom.22. Order of Dem and Rep Pres cands for traits
v082423a,PreRandom.23a. Order of Pres cand trait MORAL
v082423b,PreRandom.23b. Order of Pres cand trait STRONG LEADERSHIP
v082423c,PreRandom.23c. Order of Pres cand trait REALLY CARES
v082423d,PreRandom.23d. Order of Pres cand trait KNOWLEDGEABLE
v082423e,PreRandom.23e. Order of Pres cand trait INTELLIGENT
v082423f,PreRandom.23f. Order of Pres cand trait HONEST
v082423g,PreRandom.23g. Order of Pres cand trait OPTIMISTIC
v082424,PreRandom.24. Order of Dem-Rep Pres service-spend placements
v082425,PreRandom.25. Order of Dem-Rep Pres defense spend placements
v082426,PreRandom.26. Order of Dem-Rep Pres health ins placements
v082427,PreRandom.27. Order of Dem-Rep Pres guar jobs placements
v082428,PreRandom.28. Order of Dem-Rep Pres aid to blacks placements
v082429a,PreRandom.29a. Order of SOCIAL SECURITY federal spend item
v082429b,PreRandom.29b. Order of PUBLIC SCHOOLS federal spending item
v082429c,PreRandom.29c. Order of SCIENCE-TECHNGY federal spend item
v082429d,PreRandom.29d. Order of CRIME federal spending item
v082429e,PreRandom.29e. Order of WELFARE federal spending item
v082429f,PreRandom.29f. Order of CHILD CARE federal spending item
v082429g,PreRandom.29g. Order of FOREIGN AID federal spending item
v082429h,PreRandom.29h. Order of AID TO POOR federal spending item
v082429j,PreRandom.29j. Order of BORDER SECURIty federal spend item
v082429k,PreRandom.29k. Order of WAR ON TERRORISM federal spend item
v082429m,PreRandom.29m. Order of ENVIRONMENTfederal spend item
v082430,PreRandom.30. Order of Dem-Rep Pres envirnmt-jobs placements
v082431,PreRandom.31. Order of Dem-Rep Pres womens role placements
v082432,PreRandom.32. VERSION R or S election of black President
v082433a,PreRandom.33a. Order stereotype racial group BLACKS
v082433b,PreRandom.33b. Order stereotype racial group HISPANICS
v082433c,PreRandom.33c. Order stereotype racial group ASIANS
v082434,PreRandom.34. VERSION M or N marital status question
v083001a,A1a. Interested in following campaigns [VERSION A]
v083001b,A1b. Interested in following campaigns [VERSION B]
v083002,A2. How much has R thought about election for President
v083003,A3. Does R know where to go to vote in neighborhood
v083004,A4. Has R ever voted in precinct or election district
v083005,A5. How often does R vote
v083006,A6. How definite is R's intention to vote or not
v083007,A7. Did R vote for President in 2004
v083007a,A7a. Recall of last (2004) Presidential vote choice
v083008,A8a. Is there anything R likes about Democratic Pres cand
v083009,A8b. What is it that R likes about Democratic Pres cand
v083010,A8c. Is there anything R dislikes about Democratic Pres cand
v083011,A8d. What is it that R dislikes about Democratic Pres cand
v083012,A9a. Is there anything R likes about Republican Pres cand
v083013,A9b. What is it that R likes about Republican Pres cand
v083014,A9c. Is there anything R dislikes about Republican Pres cand
v083015,A9d. What is it that R dislikes about Republican Pres cand
v083016,A10a. Will R feel happy or sad if Democratic Pres cand won
v083016a,A10a1. How happy/sad will R be if Democratic Pres cand won
v083016x,A10a1x. SUMMARY: R happy/sad if Democratic Pres cand won
v083017,A10b. Will R feel happy or sad if Republican Pres cand won
v083017a,A10b1a. How happy/sad will R be if Republican Pres cand won
v083017x,A10b1x. SUMMARY: R happy/sad if Republican Pres cand won
v083018,A11. Does R have access to the internet
v083019,A11b. Days past week watched natl news on TV [OLD]
v083019a,A11b1. Attention to national (network) news [OLD]
v083020a,A11c1a. Days past wk watched loc TV news aft/early eve [OLD]
v083020b,A11c1b. Days past wk watched local TV news late eve [OLD]
v083020c,A11c2. Attention to local news [OLD]
v083021a,A11d1a. Days in past week read a daily newspaper [OLD]
v083021b,A11d1b. Days past week read a daily online newspaper [OLD]
v083021c,A11d2. Did R read about campaign in newspaper [OLD]
v083021d,A11d2a. Attention to newspaper articles [OLD]
v083022,A11e. Days in past week listen to radio news [OLD]
v083022a,A11e1. Attention to radio news [OLD]
v083023,A12a1. Days in typical week review news on internet [NEW]
v083023a,A12a1a. Time in typical day review news on internet [NEW]
v083023b,A12a1a1. Attention to internet news [NEW]
v083024,A12b. Days in typical week watch news on TV [NEW]
v083024a,A12b1. Time in typical day watch news on TV [NEW]
v083024b,A12b1a. Attention to TV news [NEW]
v083025,A12c. Days in typical wk read news in print newspaper [NEW]
v083025a,A12c1. Time in typical day read news in print newpaper [NEW]
v083025b,A12c1a. Attention to printed newspaper news [NEW]
v083026,A12d. Days in typical week listen news on radio [NEW]
v083026a,A12d1. Time in typical day listen news on radio [NEW]
v083026b,A12d1a. Attention to radio news [NEW]
v083027,A13. Are things in the country on right track
v083028,A14a. Approve/disapprove President handling job as Pres
v083028a,A14a1. How much approve/disapp Pres handling job
v083028x,A14a1x. SUMMARY: R approve/disapp Pres handling job
v083029,A14b. Approve/disapprove President handling economy
v083029a,A14b1. How much approve/disapprove Pres handling economy
v083029x,A14b1x. SUMMARY: R approve/disapp Pres handling economy
v083030,A14c. Approve/disapprove President handling foreign relation
v083030a,A14c1. How much approve/disapprove Pres handling foreign rel
v083030x,A14c1x. SUMMARY: R approve/disapp Pres handling foreign rel
v083031,A14d. Approve/disapprove President handling the environment
v083031a,A14d1. How much approve/disapprove Pres handling environment
v083031x,A14d1x. SUMMARY: R approve/disapp Pres handling environment
v083032,A14e. Approve/disapprove President handling health care
v083032a,A14e1. How much approve/disapprove Pres handling health care
v083032x,A14e1x. SUMMARY: R approve/disapp Pres handling health care
v083033,A14f. Approve/disapprove President handling war in Iraq
v083033a,A14f1. How much approve/disapprove Pres handling war in Iraq
v083033x,A14f1x. SUMMARY: R approve/disapp Pres handling war in Iraq
v083034,A15. Care who wins House election
v083035,A16. Approval of Congress handling its job
v083035a,A16a. Strength appr/disapprove Congress handling its job
v083035x,A16ax. SUMMARY: R approve/disapp Congress handling job
v083036,B1a. Feeling Thermometer: President
v083037a,B1b1. Feeling Thermometer: Democratic Presidential cand
v083037b,B1b2. Feeling Thermometer: Republican Presidential cand
v083038,B1c. Names: Feeling Thermometer Vice Presidential cands
v083039a,B1c1. Feeling Thermometer: Democratic Vice-Pres cand
v083039b,B1c2. Feeling Thermometer: Republican Vice-Pres cand
v083040,B1d. Feeling Thermometer: Hillary Clinton
v083041,B1e. Feeling Thermometer: Bill Clinton
v083042,B1f. Feeling Thermometer: Condoleezza Rice
v083043,B1g. Feeling Thermometer: Rush Limbaugh
v083044a,B1h. Feeling Thermometer: Democratic Party
v083044b,B1j. Feeling Thermometer: Republican Party
v083045,C1a. Is there anything R likes about Democratic Party
v083046,C1b. What does R like about Democratic party
v083047,C1c. Is there anything R dislikes about Democratic Party
v083048,C1d. What does R dislike about the Democratic party
v083049,C2a. Is there anything R likes about Republican Party
v083050,C2b. What does R like about Republican party
v083051,C2c. Is there anything R dislikes about Republican Party
v083052,C2d. What does R dislike about the Republican party
v083053,C3. Is it better when one party controls presidency and Cong
v083054,C4a. How similar are Republicans to one another
v083055,C4b. How similar are Democrats to one another
v083056,C5_. R living with family members
v083057,C5. R better/worse off than 1 year ago
v083057a,C5a. R how much better/worse off than 1 year ago
v083057x,C5ax. SUMMARY: R better/worse off than 1 year ago
v083058,C6. Will R be financially better/worse off one year from now
v083058a,C6a. R how much better/worse off 1 year from now
v083058x,C6x. SUMMARY: R better/worse off 1 year from now
v083059,C7. Does R or spouse have any money invested in stock market
v083060,C8. Does R have health insurance
v083061,D1a. Affect for Democratic Pres cand: angry
v083061a,D1a1. How often affect angry about Democratic Pres cand
v083062,D1b. Affect for Democratic Pres cand: hopeful
v083062a,D1b1. How often affect hopeful about Democratic Pres cand
v083063,D1c. Affect for Democratic Pres cand: afraid
v083063a,D1c1. How often affect afraid about Democratic Pres cand
v083064,D1d. Affect for Democratic Pres cand: proud
v083064a,D1d1. How often affect proud about Democratic Pres cand
v083065,D2a. Affect for Republican Pres cand: angry
v083065a,D2a1. How often affect angry about Republican Pres cand
v083066,D2b. Affect for Republican Pres cand: hopeful
v083066a,D2b1. How often affect hopeful about Republican Pres cand
v083067,D2c. Affect for Republican Pres cand: afraid
v083067a,D2c1. How often affect afraid about Republican Pres cand
v083068,D2d. Affect for Republican Pres cand: proud
v083068a,D2d1. How often affect proud about Republican Pres cand
v083069,E1a. Liberal/conservative self-placement -7-point scale
v083069a,E1b. If R had to choose liberal or conservative self-placemt
v083070a,E2a. Liberal/conservative - Dem Pres cand
v083070b,E2b. Liberal/conservative - Rep Pres cand
v083071a,E3a. Liberal/conservative Dem party
v083071b,E3b. Liberal/conservative Rep party
v083072,E4. Care who wins Presidential Election
v083073,E5. Who does R think will be elected President
v083074,E5a. Will Pres race be a close or will (winner) win by a lot
v083075,E6. Which Pres cand will carry state
v083076,E6a. Will Pres race be close in state
v083077,E7. Did R vote in the Presidential primary or caucus
v083077a,E7a. For which candidate did R vote in Presidential primary
v083078,E8. Does R believe in duty to vote in every natl election
v083079a,E9a. Politics/govt too complicated to understand [VERSION C]
v083079b,E9b. Good understanding of political issues [VERSION C]
v083079c,E9c. Publ officials don't care what people think [VERSION C]
v083079d,E9d. Have no say about what govt does [VERSION C]
v083080a,E10a. Politics/govt too complicatd to understand [VERSION D]
v083080b,E10b. Good understanding of political issues [VERSION D]
v083080c,E10c. Publ officials don't care what peopl think [VERSION D]
v083080d,E10d. Have no say about what govt does [VERSION D]
v083081,E11. Extent successfully defend opinion
v083082,E12. How often see both disagreeing parties as right
v083083,F1. National economy better/worse in last year
v083083a,F1a. How much economy better/worse in last year
v083083x,F1ax. SUMMARY: economy better worse in last year
v083084,F2a. Economy better or worse in next 12 months [VERSION E]
v083084a,F2a1. How much econ better/worse next 12 months [VERSION E]
v083084x,F2a1x. SUMMARY: economy better/worse next 12 mos [VERSION E]
v083085,F2b1. Economy better/worse if Dem Pres cand wins [VERSION F]
v083085a,F2b1a. How much econ bett/worse if Dem Pres wins [VERSION F]
v083085x,F2b1ax. SUMMARY: bett/wrse if Dem Pres cand win [VERSION F]
v083086,F2b2. Economy better/worse if Rep Pres cand wins [VERSION F]
v083086a,F2b2a. How much econ bett/worse if Rep Pres wins [VERSION F]
v083086x,F2b2ax. SUMMARY: bett/wrse if Rep Pres cand win [VERSION F]
v083087,F3. Unemployment better or worse in last year
v083087a,F3a. How much unemployment better or worse in last year
v083087x,F3ax. SUMMARY: unemployment better/worse in last year
v083088,F4. More or less unemployment in next year
v083089,F5. Inflation better or worse in last year
v083089a,F5a. How much inflation better or worse in last year
v083089x,F5ax. SUMMARY: inflation better/worse in last year
v083090,F6. More or less inflation in next year
v083091,F7. Could R borrow money if R needed to
v083091a,F7a. How much money could R borrow if R needed to
v083092a,F8a. Can people be trusted [VERSION G]
v083092b,F8b. Can people be trusted [VERSION H]
v083093,G1. Which party better: handling nations economy
v083094a,G2a. Which party better: keeping out of war [VERSION P]
v083094b,G2b. Which party better: keeping out of war [VERSION Q]
v083095,"H1. During last year, U.S. position in world weaker/stronger"
v083096,H2. Country would be better off if we just stayed home
v083097,"J1. Party ID: Does R think of self as Dem, Rep, Ind or what"
v083098a,J1a. Party Identification strong - Democrat/Republican
v083098b,J1b. No Party Identification - closer to Dems or Reps
v083099a,K1a1. Pres Dem cand trait moral [VERSION J]
v083099b,K1a2. Pres Dem cand trait strong leadership [VERSION J]
v083099c,K1a3. Pres Dem cand trait really cares [VERSION J]
v083099d,K1a4. Pres Dem cand trait knowledgeable [VERSION J]
v083099e,K1a5. Pres Dem cand trait intelligent [VERSION J]
v083099f,K1a6. Pres Dem cand trait honest [VERSION J]
v083099g,K1a7. Pres Dem cand trait optimistic [VERSION J]
v083100a,K1b1. Pres Dem cand trait moral [VERSION K]
v083100b,K1b2. Pres Dem cand trait strong leadership [VERSION K]
v083100c,K1b3. Pres Dem cand trait really cares[VERSION K]
v083100d,K1b4. Pres Dem cand trait knowledgeable [VERSION K]
v083100e,K1b5. Pres Dem cand trait intelligent [VERSION K]
v083100f,K1b6. Pres Dem cand trait honest [VERSION K]
v083100g,K1b7. Pres Dem cand trait optimistic [VERSION K]
v083101a,K2a1. Pres Rep cand trait moral [VERSION J]
v083101b,K2a2. Pres Rep cand trait strong leadership [VERSION J]
v083101c,K2a3. Pres Rep cand trait really cares [VERSION J]
v083101d,K2a4. Pres Rep cand trait knowledgeable [VERSION J]
v083101e,K2a5. Pres Rep cand trait intelligent [VERSION J]
v083101f,K2a6. Pres Rep cand trait honest [VERSION J]
v083101g,K2a7. Pres Rep cand trait optimistic [VERSION J]
v083102a,K2b1. Pres Rep cand trait moral [VERSION K]
v083102b,K2b2. Pres Rep cand trait strong leadership [VERSION K]
v083102c,K2b3. Pres Rep cand trait really cares [VERSION K]
v083102d,K2b4. Pres Rep cand trait knowledgeable [VERSION K]
v083102e,K2b5. Pres Rep cand trait intelligent [VERSION K]
v083102f,K2b6. Pres Rep cand trait honest [VERSION K]
v083102g,K2b7. Pres Rep cand trait optimistic [VERSION K]
v083103,M1a. Was Iraq war worth the cost
v083104,M2. Iraq war increased or decreased threat of terrorism
v083105,N1a. Spending and Services - 7-point scale self [OLD]
v083106,N1b. Importance of spending-services issue to R [OLD]
v083107a,N1c1. Spending and Services: Dem Pres cand [OLD]
v083107b,N1c2. Spending and Services: Rep Pres cand [OLD]
v083108,N1d. Spending and Services - self [NEW]
v083108a,N1d1. Amount more/less spending and Services - self [NEW]
v083108x,N1d1x. SUMMARY: R position on services-spending [NEW]
v083109,N1e. Importance of spending-services issue to R [NEW]
